Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Corey Beck
						
					",1995,-,"6'1 ¼""",-,-,-,-,-,-,-,201,-,-,-,-,-,-,/profile/Corey-Beck-1639/,Corey-Beck-1639
"
						
							George Hill
						
					",2008,26,"6'1 ¼""","6'2 ½""","6'9""","8'1 ½""","37.5""","11'3""","34""","10'11 ½""",181,3,-,-,9,12.2,3.07,/profile/George-Hill-5067/,George-Hill-5067
"
						
							Ramel Bradley
						
					",2008,-,"6'1 ¼""","6'2 ¼""","6'5""","8'2""","29.5""","10'7 ½""","24.5""","10'2 ½""",184,5.7,-,-,9,10.68,3.24,/profile/Ramel-Bradley-5626/,Ramel-Bradley-5626
"
						
							John Gilchrist
						
					",2005,-,"6'1 ¼""","6'2 ½""","6'9 ¼""","8'0 ½""","36.5""","11'1""","30.5""","10'7""",195,-,-,-,12,11.48,3.15,/profile/John-Gilchrist-6/,John-Gilchrist-6
"
						
							Bracey Wright
						
					",2005,47,"6'1 ¼""","6'2 ½""","6'10""","8'4 ½""","36""","11'4 ½""","30""","10'10 ½""",187,-,-,-,8,11.58,3.27,/profile/Bracey-Wright-130/,Bracey-Wright-130
"
						
							J.R. Bremer
						
					",2002,-,"6'1 ¼""",-,"6'2 ¼""","8'0""","35.5""","10'11 ½""","30""","10'6""",188,-,-,-,24,10.93,3.1,/profile/J.R.-Bremer-1788/,J.R.-Bremer-1788
"
						
							Zach Marbury
						
					",2001,-,"6'1 ¼""","6'2 ¾""","6'3 ½""","8'0 ½""","36.5""","11'1""","33""","10'9 ½""",183,-,-,-,-,11.53,3.1,/profile/Zach-Marbury-53454/,Zach-Marbury-53454
"
						
							Jaquay Walls
						
					",2000,56,"6'1 ¼""","6'2""","6'2 ½""","8'0 ½""","35.5""","11'0""","28.5""","10'5""",166,-,-,-,-,10.75,3.23,/profile/Jaquay-Walls-40431/,Jaquay-Walls-40431
"
						
							Rodrigue Beaubois
						
					",2009,25,"6'1 ¼""","6'2 ¼""","6'9 ¾""","8'4""","39""","11'7""","29.5""","10'9 ½""",182,7.9,-,-,3,10.49,3.15,/profile/Rodrigue-Beaubois-1298/,Rodrigue-Beaubois-1298
"
						
							Oscar Bellfield
						
					",2012,-,"6'1 ¼""",-,"6'8""",-,-,-,"27.8""","2'2 ¾""",172,-,-,-,-,11.39,3.23,/profile/Oscar-Bellfield-18490/,Oscar-Bellfield-18490
