Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jaime Fernandez,Estudiantes,31,17.8,17.1,4.2,9.5,44.1%,1.6,5.6,28.8%,3.9,4.6,84.8%,0.8,3.1,3.9,3.6,2.0,0.1,2.2,4.1,/profile/Jaime-Fernandez-6161/,/stats/acb/2017/Estudiantes,2017,acb,Jaime-Fernandez-6161,Estudiantes
Thanasis Antetokounmpo,Andorra,33,17.5,17.1,5.4,10.0,54.0%,0.9,3.7,23.2%,3.7,6.7,55.4%,2.5,6.0,8.5,1.7,1.3,1.9,3.3,6.6,/profile/Thanasis-Antetokounmpo-71005/,/stats/acb/2017/Andorra,2017,acb,Thanasis-Antetokounmpo-71005,Andorra
Rafael Martinez,Valencia,42,20.0,17.1,1.5,3.4,44.3%,3.6,7.3,49.0%,3.3,4.2,80.2%,0.1,2.4,2.5,3.6,0.7,0.0,2.3,3.6,/profile/Rafael-Martinez-5378/,/stats/acb/2017/Valencia,2017,acb,Rafael-Martinez-5378,Valencia
Alberto Abalde,Joventut,31,23.9,17.1,5.3,10.0,53.0%,1.5,4.7,31.0%,2.1,3.0,69.1%,1.6,4.3,5.9,3.0,1.3,0.1,2.2,3.2,/profile/Alberto-Abalde-61883/,/stats/acb/2017/Joventut,2017,acb,Alberto-Abalde-61883,Joventut
Richard Hendrix,Gran Canaria,31,14.9,17.0,6.8,11.7,58.1%,0.3,0.8,33.3%,2.7,3.4,79.5%,4.2,7.0,11.3,2.7,2.8,1.5,2.6,6.1,/profile/Richard-Hendrix-229/,/stats/acb/2017/Gran%20Canaria,2017,acb,Richard-Hendrix-229,Gran%20Canaria
Ryan Hollins,Gran Canaria,6,10.5,17.0,7.6,8.8,85.7%,0.0,0.0,0.0%,1.9,3.8,50.0%,1.9,8.2,10.1,0.0,0.0,1.9,3.8,9.5,/profile/Ryan-Hollins-310/,/stats/acb/2017/Gran%20Canaria,2017,acb,Ryan-Hollins-310,Gran%20Canaria
Martynas Gecevicius,Zaragoza,27,26.7,17.0,1.3,2.4,54.5%,3.8,10.1,37.4%,3.0,3.2,94.7%,0.6,2.8,3.4,3.4,0.6,0.1,1.9,2.2,/profile/Martynas-Gecevicius-1365/,/stats/acb/2017/Zaragoza,2017,acb,Martynas-Gecevicius-1365,Zaragoza
Ivan Paunic,Fuenlabrada,29,24.0,17.0,4.8,9.8,48.8%,1.5,5.2,29.3%,2.9,4.1,69.9%,1.1,2.8,3.9,1.9,1.1,0.0,2.5,3.3,/profile/Ivan-Paunic-5091/,/stats/acb/2017/Fuenlabrada,2017,acb,Ivan-Paunic-5091,Fuenlabrada
Sarunas Vasiliauskas,Joventut,12,12.8,16.9,1.6,3.4,46.2%,3.4,10.3,33.3%,3.4,4.2,81.3%,0.0,2.4,2.4,3.2,0.3,0.3,4.5,5.8,/profile/Sarunas-Vasiliauskas-5505/,/stats/acb/2017/Joventut,2017,acb,Sarunas-Vasiliauskas-5505,Joventut
Rasid Mahalbasic,Sevilla,22,24.2,16.9,6.7,11.6,57.5%,0.0,0.1,0.0%,3.6,5.0,71.2%,4.1,6.9,11.0,2.9,1.1,0.5,3.3,6.5,/profile/Rasid-Mahalbasic-6126/,/stats/acb/2017/Sevilla,2017,acb,Rasid-Mahalbasic-6126,Sevilla
