Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Pablo Almazan,Malaga,15,9.5,7.8,2.7,11.2,-0.21,1.8,71.0,2.6%,0.83,0.87,0.15,0.47,0.15,/profile/Pablo-Almazan-40025/,/stats/acb/2011/Malaga,2011,acb,Pablo-Almazan-40025,Malaga
Vladimir Dragicevic,Vitoria,8,9.1,23.2,5.3,23.2,0.45,2.8,71.1,4.0%,1.51,0.84,0.35,0.09,0.13,/profile/Vladimir-Dragicevic-5928/,/stats/acb/2011/Vitoria,2011,acb,Vladimir-Dragicevic-5928,Vitoria
Martin Rancik,Vitoria,3,9.0,11.8,2.7,11.8,0.01,3.0,71.1,4.2%,1.12,0.78,0.22,0.00,0.11,/profile/Martin-Rancik-36220/,/stats/acb/2011/Vitoria,2011,acb,Martin-Rancik-36220,Vitoria
Sergi Vidal,Real Madrid,27,9.0,5.6,1.3,5.6,-0.63,1.9,70.9,2.6%,0.82,0.78,0.24,0.28,0.20,/profile/Sergi-Vidal-5548/,/stats/acb/2011/Real%20Madrid,2011,acb,Sergi-Vidal-5548,Real%20Madrid
Alvaro Munoz,Fuenlabrada,6,9.0,6.8,1.8,8.2,-0.11,4.2,73.1,5.8%,0.91,0.87,0.20,0.04,0.24,/profile/Alvaro-Munoz-40280/,/stats/acb/2011/Fuenlabrada,2011,acb,Alvaro-Munoz-40280,Fuenlabrada
Yannick Driesen,Estudiantes,3,9.0,3.3,1.3,6.0,-0.10,2.4,73.0,3.3%,0.84,1.40,0.00,0.14,0.42,/profile/Yannick-Driesen-539/,/stats/acb/2011/Estudiantes,2011,acb,Yannick-Driesen-539,Estudiantes
Diego Sanchez,Menorca,29,7.9,3.8,1.1,5.6,-0.81,2.0,71.6,2.8%,0.74,0.91,0.21,0.07,0.12,/profile/Diego-Sanchez-37274/,/stats/acb/2011/Menorca,2011,acb,Diego-Sanchez-37274,Menorca
Joan Riera,Zaragoza,12,7.7,1.3,0.7,3.5,-0.44,2.0,70.7,2.9%,0.45,0.74,0.33,0.33,0.25,/profile/Joan-Riera-39502/,/stats/acb/2011/Zaragoza,2011,acb,Joan-Riera-39502,Zaragoza
Dmitry Flis,Joventut,30,7.5,4.8,1.8,9.8,-0.67,2.1,76.4,2.8%,0.75,0.71,0.08,0.19,0.31,/profile/Dmitry-Flis-37827/,/stats/acb/2011/Joventut,2011,acb,Dmitry-Flis-37827,Joventut
Marc Blanch,Estudiantes,5,7.4,15.8,2.8,15.1,0.09,3.2,73.0,4.4%,0.94,0.94,0.00,0.19,0.06,/profile/Marc-Blanch-39946/,/stats/acb/2011/Estudiantes,2011,acb,Marc-Blanch-39946,Estudiantes
Antonio Izquierdo,Sevilla,1,7.4,-15.9,-2.0,-10.9,-0.10,1.0,72.4,1.4%,0.00,1.00,0.00,0.00,1.00,/profile/Antonio-Izquierdo-39711/,/stats/acb/2011/Sevilla,2011,acb,Antonio-Izquierdo-39711,Sevilla
Marko Todorovic,Joventut,9,7.3,7.1,1.9,10.3,-0.12,2.4,76.4,3.2%,0.82,1.10,0.27,0.00,0.23,/profile/Marko-Todorovic-6414/,/stats/acb/2011/Joventut,2011,acb,Marko-Todorovic-6414,Joventut
Ignacio De Miguel,Alicante,9,7.1,13.2,2.7,15.0,0.08,1.3,70.1,1.8%,1.12,0.52,0.52,0.00,0.35,/profile/Ignacio-De-Miguel-35498/,/stats/acb/2011/Alicante,2011,acb,Ignacio-De-Miguel-35498,Alicante
