Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Derrick Alston,Gravelines,6,21.5,9.8,7.0,0.98,0.59,0.55,0.45,0.00,0.67,0.10,0.44,-5.03,0.3,0.8,2.7,/profile/Derrick-Alston-1490/,/stats/french/2006/Gravelines,2006,french,Derrick-Alston-1490,Gravelines
Vincent Masingue,Villeurbanne,27,21.5,8.0,6.3,0.85,0.54,0.54,0.44,0.01,1.00,0.16,0.57,-4.99,0.6,0.2,3.5,/profile/Vincent-Masingue-37118/,/stats/french/2006/Villeurbanne,2006,french,Vincent-Masingue-37118,Villeurbanne
Tim Pickett,Villeurbanne,9,21.2,12.6,10.4,1.02,0.56,0.53,0.16,0.65,1.78,0.17,1.78,0.87,1.6,0.2,1.9,/profile/Tim-Pickett-5332/,/stats/french/2006/Villeurbanne,2006,french,Tim-Pickett-5332,Villeurbanne
Mickael Mokongo,Chalon,26,21.1,7.4,5.9,0.91,0.55,0.51,0.31,0.54,3.15,0.53,2.41,3.86,1.0,0.0,2.6,/profile/Mickael-Mokongo-1049/,/stats/french/2006/Chalon,2006,french,Mickael-Mokongo-1049,Chalon
Tomislav Ruzic,Villeurbanne,33,21.0,7.9,6.2,0.96,0.56,0.54,0.29,0.32,1.03,0.17,0.92,-2.06,0.9,0.2,2.0,/profile/Tomislav-Ruzic-35625/,/stats/french/2006/Villeurbanne,2006,french,Tomislav-Ruzic-35625,Villeurbanne
Greg Stevenson,Paris Basket Racing,3,21.0,4.3,3.3,1.00,0.55,0.45,0.40,0.60,1.00,0.30,3.00,1.66,0.7,0.0,2.7,/profile/Greg-Stevenson-37351/,/stats/french/2006/Paris%20Basket%20Racing,2006,french,Greg-Stevenson-37351,Paris%20Basket%20Racing
Oleksiy Pecherov,Paris Basket Racing,23,21.0,11.2,8.6,1.00,0.58,0.53,0.30,0.34,0.17,0.02,0.13,-6.15,0.4,1.0,1.8,/profile/Oleksiy-Pecherov-148/,/stats/french/2006/Paris%20Basket%20Racing,2006,french,Oleksiy-Pecherov-148,Paris%20Basket%20Racing
Pierric Poupet,Bourg,37,20.9,6.1,5.5,0.69,0.48,0.43,0.36,0.53,3.03,0.55,1.32,-1.36,1.1,0.1,1.9,/profile/Pierric-Poupet-37565/,/stats/french/2006/Bourg,2006,french,Pierric-Poupet-37565,Bourg
Ognjen Vukicevic,Hyeres-Toulon,34,20.9,7.4,5.8,0.90,0.55,0.50,0.40,0.48,1.15,0.20,0.85,-2.81,0.5,0.1,2.6,/profile/Ognjen-Vukicevic-36983/,/stats/french/2006/Hyeres-Toulon,2006,french,Ognjen-Vukicevic-36983,Hyeres-Toulon
Dusan Nedic,Hyeres-Toulon,20,20.9,8.1,7.5,0.76,0.48,0.42,0.27,0.36,1.55,0.21,0.78,-4.62,0.8,0.1,2.7,/profile/Dusan-Nedic-36688/,/stats/french/2006/Hyeres-Toulon,2006,french,Dusan-Nedic-36688,Hyeres-Toulon
