Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Larry O'Bannon,Red Star,13,25.3,12.2,7.5,1.10,0.67,0.62,0.47,0.49,0.92,0.12,0.50,-4.85,0.6,0.1,2.5,/profile/Larry-O-Bannon-29715/,/stats/eurocup/2006/Red%20Star,2006,eurocup,Larry-O-Bannon-29715,Red%20Star
Kenyan Weaks,Sofia,10,25.2,11.1,9.3,0.86,0.54,0.48,0.26,0.39,1.80,0.19,0.75,-4.62,1.3,0.5,2.8,/profile/Kenyan-Weaks-36862/,/stats/eurocup/2006/Sofia,2006,eurocup,Kenyan-Weaks-36862,Sofia
Corey Brewer,Aris,14,25.1,17.6,10.5,1.12,0.67,0.62,0.59,0.44,2.29,0.22,1.10,-2.12,1.6,0.2,2.6,/profile/Corey-Brewer-39058/,/stats/eurocup/2006/Aris,2006,eurocup,Corey-Brewer-39058,Aris
Gjorgji Cekovski,Sofia,11,25.1,8.8,7.5,0.91,0.55,0.52,0.16,0.50,0.45,0.06,0.28,-5.15,1.6,0.1,4.0,/profile/Gjorgji-Cekovski-37325/,/stats/eurocup/2006/Sofia,2006,eurocup,Gjorgji-Cekovski-37325,Sofia
Miroslav Raicevic,Red Star,11,25.0,8.8,6.5,0.96,0.59,0.56,0.32,0.32,1.00,0.15,0.61,-3.86,0.7,0.5,3.1,/profile/Miroslav-Raicevic-37206/,/stats/eurocup/2006/Red%20Star,2006,eurocup,Miroslav-Raicevic-37206,Red%20Star
Michael Jordan,Ventspils,5,24.9,9.4,6.4,0.96,0.63,0.58,0.38,0.38,5.20,0.81,2.36,4.84,1.4,0.0,2.4,/profile/Michael-Jordan-35344/,/stats/eurocup/2006/Ventspils,2006,eurocup,Michael-Jordan-35344,Ventspils
Jim Cantamessa,Bree,12,24.9,11.7,9.4,0.89,0.53,0.45,0.40,0.59,1.00,0.11,0.57,-4.18,1.0,0.0,2.9,/profile/Jim-Cantamessa-37399/,/stats/eurocup/2006/Bree,2006,eurocup,Jim-Cantamessa-37399,Bree
Stefano Garris,Frankfurt,2,24.8,11.0,10.0,0.72,0.52,0.53,0.15,0.65,1.50,0.15,0.33,-14.17,0.0,0.0,1.5,/profile/Stefano-Garris-36452/,/stats/eurocup/2006/Frankfurt,2006,eurocup,Stefano-Garris-36452,Frankfurt
Roger Huggins,Bree,12,24.7,11.7,7.2,0.92,0.58,0.51,0.94,0.02,1.50,0.21,0.69,-4.53,2.0,0.1,3.1,/profile/Roger-Huggins-36384/,/stats/eurocup/2006/Bree,2006,eurocup,Roger-Huggins-36384,Bree
Peter Lisicky,Anwil,4,24.7,8.5,7.0,0.85,0.61,0.61,0.00,0.61,3.25,0.46,1.08,-3.55,1.3,0.0,2.8,/profile/Peter-Lisicky-35582/,/stats/eurocup/2006/Anwil,2006,eurocup,Peter-Lisicky-35582,Anwil
Ignacio De Miguel,Alicante,11,24.6,8.6,5.7,0.90,0.60,0.57,0.57,0.14,0.82,0.14,0.38,-6.78,1.8,0.2,3.9,/profile/Ignacio-De-Miguel-35498/,/stats/eurocup/2006/Alicante,2006,eurocup,Ignacio-De-Miguel-35498,Alicante
Andre Riddick,Charleroi,12,24.5,8.7,8.0,0.84,0.50,0.49,0.20,0.00,1.08,0.14,0.72,-3.23,2.9,1.3,3.7,/profile/Andre-Riddick-5576/,/stats/eurocup/2006/Charleroi,2006,eurocup,Andre-Riddick-5576,Charleroi
