RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
92,"			
												Julian Swartz
											","
											"," 
											",-,/profile/Julian-Swartz-53424/,1999,Julian-Swartz-53424
94,"			
												Rafael Berumen
											","
											"," 
											",-,/profile/Rafael-Berumen-32962/,1999,Rafael-Berumen-32962
95,"			
												Chris Monroe
											","
											"," 
											",-,/profile/Chris-Monroe-5558/,1999,Chris-Monroe-5558
96,"			
												Derrick Zimmerman
											","
													40
											"," 
												2003
											",-0.08,/profile/Derrick-Zimmerman-5300/,1999,Derrick-Zimmerman-5300
97,"			
												Wesley Wilson
											","
											"," 
											",-,/profile/Wesley-Wilson-33291/,1999,Wesley-Wilson-33291
98,"			
												Demetrius Hunter
											","
											"," 
											",-,/profile/Demetrius-Hunter-32038/,1999,Demetrius-Hunter-32038
99,"			
												Greg Morton
											","
											"," 
											",-,/profile/Greg-Morton-32566/,1999,Greg-Morton-32566
99,"			
												Gilbert Arenas
											","
													30
											"," 
												2001
											",7.01,/profile/Gilbert-Arenas-1526/,1999,Gilbert-Arenas-1526
101,"			
												Brooks Hall
											","
											"," 
											",-,/profile/Brooks-Hall-33451/,1999,Brooks-Hall-33451
101,"			
												B.J. Grove
											","
											"," 
											",-,/profile/B.J.-Grove-35066/,1999,B.J.-Grove-35066
103,"			
												Omar Weaver
											","
											"," 
											",-,/profile/Omar-Weaver-53412/,1999,Omar-Weaver-53412
104,"			
												Nick Vander Laan
											","
											"," 
											",-,/profile/Nick-Vander-Laan-32268/,1999,Nick-Vander-Laan-32268
105,"			
												Jeremy McNeil
											","
											"," 
											",-,/profile/Jeremy-McNeil-30657/,1999,Jeremy-McNeil-30657
106,"			
												Ryan Wildenborg
											","
											"," 
											",-,/profile/Ryan-Wildenborg-32181/,1999,Ryan-Wildenborg-32181
107,"			
												Slobodan Ocokoljic
											","
											"," 
											",-,/profile/Slobodan-Ocokoljic-32103/,1999,Slobodan-Ocokoljic-32103
107,"			
												Travis Kraft
											","
											"," 
											",-,/profile/Travis-Kraft-53425/,1999,Travis-Kraft-53425
109,"			
												Gavin Groninger
											","
											"," 
											",-,/profile/Gavin-Groninger-32950/,1999,Gavin-Groninger-32950
109,"			
												Tim Lyles
											","
											"," 
											",-,/profile/Tim-Lyles-53426/,1999,Tim-Lyles-53426
111,"			
												Carl Baker
											","
											"," 
											",-,/profile/Carl-Baker-33695/,1999,Carl-Baker-33695
111,"			
												Nick Horvath
											","
											"," 
											",-,/profile/Nick-Horvath-31575/,1999,Nick-Horvath-31575
111,"			
												Dalron Johnson
											","
											"," 
											",-,/profile/Dalron-Johnson-32328/,1999,Dalron-Johnson-32328
114,"			
												Abe Keita
											","
											"," 
											",-,/profile/Abe-Keita-30683/,1999,Abe-Keita-30683
115,"			
												DeMario Hooper
											","
											"," 
											",-,/profile/DeMario-Hooper-31740/,1999,DeMario-Hooper-31740
116,"			
												Larry Satchell
											","
											"," 
											",-,/profile/Larry-Satchell-33694/,1999,Larry-Satchell-33694
116,"			
												Kei Madison
											","
											"," 
											",-,/profile/Kei-Madison-53427/,1999,Kei-Madison-53427
118,"			
												Ben Johnson
											","
											"," 
											",-,/profile/Ben-Johnson-31141/,1999,Ben-Johnson-31141
119,"			
												Shantay Legans
											","
											"," 
											",-,/profile/Shantay-Legans-31499/,1999,Shantay-Legans-31499
120,"			
												Ugonna Onyekwe
											","
											"," 
											",-,/profile/Ugonna-Onyekwe-32725/,1999,Ugonna-Onyekwe-32725
121,"			
												Ontario Harper
											","
											"," 
											",-,/profile/Ontario-Harper-29614/,1999,Ontario-Harper-29614
122,"			
												Jamal Brown
											","
											"," 
											",-,/profile/Jamal-Brown-82625/,1999,Jamal-Brown-82625
123,"			
												Ebi Ere
											","
											"," 
											",-,/profile/Ebi-Ere-5446/,1999,Ebi-Ere-5446
123,"			
												Cardell Butler
											","
											"," 
											",-,/profile/Cardell-Butler-32043/,1999,Cardell-Butler-32043
125,"			
												Josh Howard
											","
													29
											"," 
												2003
											",4.08,/profile/Josh-Howard-2887/,1999,Josh-Howard-2887
125,"			
												Shane Schilling
											","
											"," 
											",-,/profile/Shane-Schilling-31783/,1999,Shane-Schilling-31783
125,"			
												Ivan Howell
											","
											"," 
											",-,/profile/Ivan-Howell-30748/,1999,Ivan-Howell-30748
