Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Wally Szczerbiak,2000,2009,F,6-7,244.0,1977-03-05,Miami University,/players/s/szczewa02.html,szczewa02,0,79.0
Walt Szczerbiak,1972,1972,F,6-6,210.0,1949-08-21,George Washington University,/players/s/szczewa01.html,szczewa01,0,78.0
Zan Tabak,1995,2001,C,7-0,245.0,1970-06-15,,/players/t/tabakza01.html,tabakza01,0,84.0
Yuta Tabuse,2005,2005,G,5-9,165.0,1980-10-05,Brigham Young University Hawaii,/players/t/tabusyu01.html,tabusyu01,0,69.0
Chris Taft,2006,2006,F,6-10,260.0,1985-03-10,University of Pittsburgh,/players/t/taftch01.html,taftch01,0,82.0
Sid Tanenbaum,1948,1949,G,6-0,160.0,1925-10-08,New York University,/players/t/tanensi01.html,tanensi01,0,72.0
Dragan Tarlac,2001,2001,C,6-10,260.0,1973-05-09,,/players/t/tarladr01.html,tarladr01,0,82.0
Roy Tarpley,1987,1995,C-F,6-11,230.0,1964-11-28,University of Michigan,/players/t/tarplro01.html,tarplro01,0,83.0
Levern Tart,1968,1971,G-F,6-2,195.0,1942-06-01,Bradley University,/players/t/tartle01.html,tartle01,0,74.0
Earl Tatum,1977,1980,G-F,6-5,185.0,1953-07-26,Marquette University,/players/t/tatumea01.html,tatumea01,0,77.0
Edy Tavares,2016,2017,C,7-3,260.0,1992-03-22,,/players/t/tavarwa01.html,tavarwa01,0,87.0
Anthony Taylor,1989,1989,G,6-4,175.0,1965-11-30,University of Oregon,/players/t/tayloan01.html,tayloan01,0,76.0
Brian Taylor,1973,1982,G,6-2,185.0,1951-06-09,Princeton University,/players/t/taylobr01.html,taylobr01,0,74.0
Donell Taylor,2006,2007,G,6-6,180.0,1982-07-26,University of Alabama at Birmingham,/players/t/taylodo01.html,taylodo01,0,78.0
Fatty Taylor,1970,1977,G,6-0,175.0,1946-03-13,La Salle University,/players/t/taylofa01.html,taylofa01,0,72.0
Fred Taylor,1971,1972,G-F,6-5,180.0,1948-02-05,University of Texas-Pan American,/players/t/taylofr01.html,taylofr01,0,77.0
Isaiah Taylor,2017,2017,G,6-3,170.0,1994-07-11,University of Texas at Austin,/players/t/taylois01.html,taylois01,0,75.0
Jay Taylor,1990,1990,G,6-3,190.0,1967-10-03,Eastern Illinois University,/players/t/tayloja01.html,tayloja01,0,75.0
Jeff Taylor,1983,1987,G,6-4,175.0,1960-01-01,Texas Tech University,/players/t/tayloje01.html,tayloje01,0,76.0
Jeffery Taylor,2013,2015,F,6-7,225.0,1989-05-23,Vanderbilt University,/players/t/tayloje03.html,tayloje03,0,79.0
Jermaine Taylor,2010,2011,G,6-4,210.0,1986-12-08,University of Central Florida,/players/t/tayloje02.html,tayloje02,0,76.0
Johnny Taylor,1998,2000,F,6-9,220.0,1974-06-04,University of Tennessee at Chattanooga,/players/t/taylojo01.html,taylojo01,0,81.0
Leonard Taylor,1990,1990,F,6-8,220.0,1966-05-02,University of California,/players/t/taylole01.html,taylole01,0,80.0
Maurice Taylor,1998,2007,F,6-9,260.0,1976-10-30,University of Michigan,/players/t/tayloma01.html,tayloma01,0,81.0
Mike Taylor,2009,2009,G,6-2,165.0,1986-01-21,Iowa State University,/players/t/taylomi01.html,taylomi01,0,74.0
Oliver Taylor,1971,1974,G-F,6-2,194.0,1947-03-07,University of Houston,/players/t/taylool01.html,taylool01,0,74.0
Ronald Taylor,1970,1972,C,7-1,265.0,1947-11-21,University of Southern California,/players/t/tayloro01.html,tayloro01,0,85.0
Tyshawn Taylor,2013,2014,G,6-3,185.0,1990-04-12,University of Kansas,/players/t/tayloty01.html,tayloty01,0,75.0
Vince Taylor,1983,1983,G-F,6-5,180.0,1960-09-11,Duke University,/players/t/taylovi01.html,taylovi01,0,77.0
Terry Teagle,1983,1993,F-G,6-5,195.0,1960-04-10,Baylor University,/players/t/teaglte01.html,teaglte01,0,77.0
Jeff Teague,2010,2017,G,6-2,186.0,1988-06-10,Wake Forest University,/players/t/teaguje01.html,teaguje01,0,74.0
Marquis Teague,2013,2014,G,6-2,189.0,1993-02-28,University of Kentucky,/players/t/teaguma01.html,teaguma01,0,74.0
Mirza Teletovic,2013,2017,F,6-9,242.0,1985-09-18,,/players/t/teletmi01.html,teletmi01,0,81.0
Sebastian Telfair,2005,2015,G,6-0,165.0,1985-06-09,,/players/t/telfase01.html,telfase01,0,72.0
Collis Temple,1975,1975,F,6-8,220.0,1952-11-08,Louisiana State University,/players/t/templco01.html,templco01,0,80.0
Garrett Temple,2010,2017,G,6-6,195.0,1986-05-08,Louisiana State University,/players/t/templga01.html,templga01,0,78.0
Ira Terrell,1977,1979,F-C,6-8,200.0,1954-06-19,Southern Methodist University,/players/t/terreir01.html,terreir01,0,80.0
Carlos Terry,1981,1983,G-F,6-5,210.0,1956-06-22,Winston-Salem State University,/players/t/terryca01.html,terryca01,0,77.0
Chuck Terry,1973,1977,F,6-6,215.0,1950-09-27,"California State University, Long Beach",/players/t/terrych01.html,terrych01,0,78.0
Claude Terry,1973,1978,G-F,6-4,195.0,1950-01-12,Stanford University,/players/t/terrycl01.html,terrycl01,0,76.0
Jason Terry,2000,2017,G,6-2,185.0,1977-09-15,University of Arizona,/players/t/terryja01.html,terryja01,0,74.0
Hasheem Thabeet,2010,2014,C,7-3,263.0,1987-02-16,University of Connecticut,/players/t/thabeha01.html,thabeha01,0,87.0
