Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
George Lynch,1994,2005,F,6-8,218.0,1970-09-03,University of North Carolina,/players/l/lynchge01.html,lynchge01,0,80.0
Kevin Lynch,1992,1993,G-F,6-5,195.0,1968-12-24,University of Minnesota,/players/l/lynchke01.html,lynchke01,0,77.0
Lonnie Lynn,1970,1970,F,6-7,215.0,1943-05-24,Wilberforce University,/players/l/lynnlo01.html,lynnlo01,0,79.0
Mike Lynn,1970,1971,F,6-7,215.0,1945-11-25,"University of California, Los Angeles",/players/l/lynnmi01.html,lynnmi01,0,79.0
Mike Macaluso,1974,1974,F,6-5,210.0,1951-07-20,Canisius College,/players/m/macalmi01.html,macalmi01,0,77.0
Ed Macauley,1950,1959,C-F,6-8,185.0,1928-03-22,Saint Louis University,/players/m/macaued01.html,macaued01,1,80.0
Todd MacCulloch,2000,2003,C,7-0,280.0,1976-01-27,University of Washington,/players/m/maccuto01.html,maccuto01,0,84.0
Ronnie MacGilvray,1955,1955,G,6-2,185.0,1930-07-20,St. John's University,/players/m/macgiro01.html,macgiro01,0,74.0
Scott Machado,2013,2013,G,6-1,205.0,1990-06-08,Iona College,/players/m/machasc01.html,machasc01,0,73.0
Arvydas Macijauskas,2006,2006,G,6-4,214.0,1980-01-19,,/players/m/macijar01.html,macijar01,0,76.0
Ollie Mack,1980,1982,G,6-3,185.0,1957-06-06,East Carolina University,/players/m/mackol01.html,mackol01,0,75.0
Sam Mack,1993,2002,F-G,6-7,220.0,1970-05-26,University of Houston,/players/m/macksa01.html,macksa01,0,79.0
Shelvin Mack,2012,2017,G,6-3,203.0,1990-04-22,Butler University,/players/m/macksh01.html,macksh01,0,75.0
Malcolm Mackey,1994,1994,F-C,6-9,248.0,1970-07-11,Georgia Institute of Technology,/players/m/mackema01.html,mackema01,0,81.0
Rudy Macklin,1982,1984,F-G,6-7,205.0,1958-02-19,Louisiana State University,/players/m/macklru01.html,macklru01,0,79.0
Vernon Macklin,2012,2012,F,6-10,227.0,1986-09-20,University of Florida,/players/m/macklve01.html,macklve01,0,82.0
Johnny Macknowski,1950,1951,G-F,6-0,180.0,1923-01-07,Seton Hall University,/players/m/macknjo01.html,macknjo01,0,72.0
Don MacLean,1993,2001,F,6-10,235.0,1970-01-16,"University of California, Los Angeles",/players/m/macledo01.html,macledo01,0,82.0
Mark Macon,1992,1999,G,6-5,185.0,1969-04-14,Temple University,/players/m/maconma01.html,maconma01,0,77.0
Kyle Macy,1981,1987,G,6-3,175.0,1957-04-09,University of Kentucky,/players/m/macyky01.html,macyky01,0,75.0
Jack Maddox,1949,1949,F-G,6-3,185.0,1919-12-10,West Texas A&M University,/players/m/maddoja01.html,maddoja01,0,75.0
Tito Maddox,2003,2003,G,6-4,190.0,1981-06-07,"California State University, Fresno",/players/m/maddoti01.html,maddoti01,0,76.0
Gerald Madkins,1994,1998,G,6-4,200.0,1969-04-18,"University of California, Los Angeles",/players/m/madkige01.html,madkige01,0,76.0
Mark Madsen,2001,2009,F,6-9,240.0,1976-01-28,Stanford University,/players/m/madsema01.html,madsema01,0,81.0
Norm Mager,1951,1951,F,6-5,185.0,1926-03-23,City College of New York,/players/m/magerno01.html,magerno01,0,77.0
Corey Maggette,2000,2013,F,6-6,218.0,1979-11-12,Duke University,/players/m/maggeco01.html,maggeco01,0,78.0
Dave Magley,1983,1983,F,6-8,202.0,1959-11-24,University of Kansas,/players/m/magleda01.html,magleda01,0,80.0
Jamaal Magloire,2001,2012,C,6-11,259.0,1978-05-21,University of Kentucky,/players/m/magloja01.html,magloja01,0,83.0
Randolph Mahaffey,1968,1971,F,6-7,210.0,1945-09-28,Clemson University,/players/m/mahafra01.html,mahafra01,0,79.0
Ian Mahinmi,2008,2017,C,6-11,250.0,1986-11-05,,/players/m/mahinia01.html,mahinia01,0,83.0
John Mahnken,1947,1953,C,6-8,220.0,1922-06-16,Georgetown University,/players/m/mahnkjo01.html,mahnkjo01,0,80.0
Brian Mahoney,1973,1973,G,6-3,175.0,1948-12-17,Manhattan College,/players/m/mahonbr01.html,mahonbr01,0,75.0
Mo Mahoney,1953,1954,F,6-2,205.0,1927-11-20,Brown University,/players/m/mahonmo01.html,mahonmo01,0,74.0
Rick Mahorn,1981,1999,C-F,6-10,240.0,1958-09-21,Hampton University,/players/m/mahorri01.html,mahorri01,0,82.0
Dan Majerle,1989,2002,G-F,6-6,215.0,1965-09-09,Central Michigan University,/players/m/majerda01.html,majerda01,0,78.0
Renaldo Major,2007,2007,F,6-7,200.0,1982-05-07,"California State University, Fresno",/players/m/majorre01.html,majorre01,0,79.0
Thon Maker,2017,2017,F-C,7-1,216.0,1997-02-25,,/players/m/makerth01.html,makerth01,0,85.0
Lionel Malamed,1949,1949,G,5-9,150.0,1924-11-15,City College of New York,/players/m/malamli01.html,malamli01,0,69.0
Jeff Malone,1984,1996,G,6-4,205.0,1961-06-28,Mississippi State University,/players/m/malonje01.html,malonje01,0,76.0
Karl Malone,1986,2004,F,6-9,250.0,1963-07-24,Louisiana Tech University,/players/m/malonka01.html,malonka01,1,81.0
Moses Malone,1975,1995,C-F,6-10,215.0,1955-03-23,,/players/m/malonmo01.html,malonmo01,1,82.0
Matt Maloney,1997,2003,G,6-3,192.0,1971-12-06,University of Pennsylvania,/players/m/malonma01.html,malonma01,0,75.0
Steve Malovic,1980,1980,F,6-10,230.0,1956-07-21,San Diego State University,/players/m/malovst01.html,malovst01,0,82.0
Mike Maloy,1971,1973,F,6-7,215.0,1949-05-10,Davidson College,/players/m/maloymi01.html,maloymi01,0,79.0
Ted Manakas,1974,1974,G,6-2,180.0,1951-02-22,Princeton University,/players/m/manakte01.html,manakte01,0,74.0
John Mandic,1949,1950,F-C,6-4,205.0,1919-10-03,Oregon State University,/players/m/mandijo01.html,mandijo01,0,76.0
Frank Mangiapane,1947,1947,G,5-10,195.0,1925-08-05,New York University,/players/m/mangifr01.html,mangifr01,0,70.0
Danny Manning,1989,2003,F-C,6-10,230.0,1966-05-17,University of Kansas,/players/m/mannida01.html,mannida01,0,82.0
Ed Manning,1968,1976,F,6-7,210.0,1944-01-02,Jackson State University,/players/m/mannied01.html,mannied01,0,79.0
Guy Manning,1968,1969,F,6-6,195.0,1944-02-04,Prairie View A&M University,/players/m/mannigu01.html,mannigu01,0,78.0
Rich Manning,1996,1997,C,6-11,253.0,1970-06-23,University of Washington,/players/m/manniri01.html,manniri01,0,83.0
Pace Mannion,1984,1989,G,6-7,190.0,1960-09-22,University of Utah,/players/m/mannipa01.html,mannipa01,0,79.0
Nick Mantis,1960,1963,G,6-3,190.0,1935-12-07,Northwestern University,/players/m/mantini01.html,mantini01,0,75.0
Pete Maravich,1971,1980,G,6-5,197.0,1947-06-22,Louisiana State University,/players/m/maravpe01.html,maravpe01,1,77.0
Press Maravich,1947,1947,G,6-0,185.0,1920-08-20,Davis & Elkins College,/players/m/maravpr01.html,maravpr01,0,72.0
Devyn Marble,2015,2016,G-F,6-6,200.0,1992-09-21,University of Iowa,/players/m/marblde01.html,marblde01,0,78.0
Roy Marble,1990,1994,G-F,6-6,190.0,1966-12-13,University of Iowa,/players/m/marblro01.html,marblro01,0,78.0
Stephon Marbury,1997,2009,G,6-2,180.0,1977-02-20,Georgia Institute of Technology,/players/m/marbust01.html,marbust01,0,74.0
Sarunas Marciulionis,1990,1997,G,6-5,200.0,1964-06-13,,/players/m/marcisa01.html,marcisa01,1,77.0
Saul Mariaschin,1948,1948,G,5-11,165.0,1924-09-01,Harvard University,/players/m/mariasa01.html,mariasa01,0,71.0
Jack Marin,1967,1977,F-G,6-7,200.0,1944-10-12,Duke University,/players/m/marinja01.html,marinja01,0,79.0
Shawn Marion,2000,2015,F,6-7,220.0,1978-05-07,"University of Nevada, Las Vegas",/players/m/mariosh01.html,mariosh01,0,79.0
Boban Marjanovic,2016,2017,C,7-3,290.0,1988-08-15,,/players/m/marjabo01.html,marjabo01,0,87.0
Damir Markota,2007,2007,C,6-10,225.0,1985-12-26,,/players/m/markoda01.html,markoda01,0,82.0
Sean Marks,1999,2011,F-C,6-10,250.0,1975-08-23,University of California,/players/m/marksse01.html,marksse01,0,82.0
Harvey Marlatt,1971,1973,G,6-3,185.0,1948-08-26,Eastern Michigan University,/players/m/marlaha01.html,marlaha01,0,75.0
Jim Marsh,1972,1972,F,6-7,215.0,1946-04-26,University of Southern California,/players/m/marshji01.html,marshji01,0,79.0
Ricky Marsh,1978,1978,G,6-3,200.0,1954-03-10,Manhattan College,/players/m/marshri01.html,marshri01,0,75.0
Donny Marshall,1996,2003,F,6-7,230.0,1972-07-17,University of Connecticut,/players/m/marshdo02.html,marshdo02,0,79.0
Donyell Marshall,1995,2009,F,6-9,218.0,1973-05-18,University of Connecticut,/players/m/marshdo01.html,marshdo01,0,81.0
Kendall Marshall,2013,2016,G,6-4,200.0,1991-08-19,University of North Carolina,/players/m/marshke01.html,marshke01,0,76.0
Rawle Marshall,2006,2007,G-F,6-9,190.0,1982-02-20,Oakland University,/players/m/marshra01.html,marshra01,0,81.0
Tom Marshall,1955,1959,F-G,6-4,215.0,1931-01-06,Western Kentucky University,/players/m/marshto01.html,marshto01,0,76.0
Vester Marshall,1974,1974,F,6-7,200.0,1948-12-22,University of Oklahoma,/players/m/marshve01.html,marshve01,0,79.0
Bill Martin,1986,1988,F,6-7,205.0,1962-08-16,Georgetown University,/players/m/martibi01.html,martibi01,0,79.0
Bob Martin,1994,1995,C,7-0,250.0,1969-10-07,University of Minnesota,/players/m/martibo01.html,martibo01,0,84.0
Brian Martin,1986,1986,F,6-9,212.0,1962-08-18,University of Kansas,/players/m/martibr01.html,martibr01,0,81.0
Cartier Martin,2009,2015,F,6-7,220.0,1984-11-20,Kansas State University,/players/m/martica01.html,martica01,0,79.0
Cuonzo Martin,1996,1997,G-F,6-5,213.0,1971-09-23,Purdue University,/players/m/marticu01.html,marticu01,0,77.0
Darrick Martin,1995,2008,G,5-11,170.0,1971-03-06,"University of California, Los Angeles",/players/m/martida01.html,martida01,0,71.0
Dino Martin,1947,1948,G,5-8,160.0,1920-05-25,Georgetown University,/players/m/martidi01.html,martidi01,0,68.0
Don Martin,1947,1949,C-F,6-7,210.0,1920-02-07,Central Missouri State University,/players/m/martido01.html,martido01,0,79.0
Fernando Martin,1987,1987,C,6-9,220.0,1962-03-25,,/players/m/martife01.html,martife01,0,81.0
Jarell Martin,2016,2017,F,6-10,239.0,1994-05-24,Louisiana State University,/players/m/martija01.html,martija01,0,82.0
Jeff Martin,1990,1991,G,6-5,195.0,1967-01-14,Murray State University,/players/m/martije01.html,martije01,0,77.0
Kenyon Martin,2001,2015,F,6-9,234.0,1977-12-30,University of Cincinnati,/players/m/martike01.html,martike01,0,81.0
Kevin Martin,2005,2016,G,6-7,199.0,1983-02-01,Western Carolina University,/players/m/martike02.html,martike02,0,79.0
LaRue Martin,1973,1976,C,6-11,208.0,1950-03-30,Loyola University of Chicago,/players/m/martila01.html,martila01,0,83.0
Maurice Martin,1987,1988,F-G,6-6,200.0,1964-07-02,Saint Joseph's University,/players/m/martima01.html,martima01,0,78.0
Phil Martin,1955,1955,G,6-3,190.0,1928-04-02,University of Toledo,/players/m/martiph01.html,martiph01,0,75.0
Slater Martin,1950,1960,G,5-10,170.0,1925-10-22,University of Texas at Austin,/players/m/martisl01.html,martisl01,1,70.0
Whitey Martin,1962,1962,G,6-2,185.0,1939-04-11,St. Bonaventure University,/players/m/martiwh01.html,martiwh01,0,74.0
Jamal Mashburn,1994,2004,F,6-8,240.0,1972-11-29,University of Kentucky,/players/m/mashbja01.html,mashbja01,0,80.0
Al Masino,1953,1954,G,5-10,174.0,1928-02-05,Canisius College,/players/m/masinal01.html,masinal01,0,70.0
Anthony Mason,1990,2003,F,6-7,250.0,1966-12-14,Tennessee State University,/players/m/masonan01.html,masonan01,0,79.0
Desmond Mason,2001,2010,F,6-7,224.0,1977-10-11,Oklahoma State University,/players/m/masonde01.html,masonde01,0,79.0
Roger Mason,2003,2014,G,6-5,200.0,1980-09-10,University of Virginia,/players/m/masonro01.html,masonro01,0,77.0
Tony Massenburg,1991,2005,F,6-9,220.0,1967-07-31,University of Maryland,/players/m/masseto01.html,masseto01,0,81.0
Eddie Mast,1971,1973,F-C,6-9,220.0,1948-10-03,Temple University,/players/m/masted01.html,masted01,0,81.0
Johnny Mathis,1968,1968,F,6-6,220.0,1943-07-14,Savannah State University,/players/m/mathijo01.html,mathijo01,0,78.0
Wes Matthews,1981,1990,G,6-1,170.0,1959-08-24,University of Wisconsin,/players/m/matthwe01.html,matthwe01,0,73.0
Wesley Matthews,2010,2017,G,6-5,220.0,1986-10-14,Marquette University,/players/m/matthwe02.html,matthwe02,0,77.0
Ariel Maughan,1947,1951,F,6-4,190.0,1923-04-26,Utah State University,/players/m/maughar01.html,maughar01,0,76.0
Marlon Maxey,1993,1994,F,6-8,250.0,1969-02-19,University of Texas at El Paso,/players/m/maxeyma01.html,maxeyma01,0,80.0
Jason Maxiell,2006,2015,F,6-7,260.0,1983-02-18,University of Cincinnati,/players/m/maxieja01.html,maxieja01,0,79.0
Cedric Maxwell,1978,1988,F,6-8,205.0,1955-11-21,University of North Carolina at Charlotte,/players/m/maxwece01.html,maxwece01,0,80.0
Vernon Maxwell,1989,2001,G,6-4,180.0,1965-09-12,University of Florida,/players/m/maxweve01.html,maxweve01,0,76.0
Don May,1969,1975,F,6-4,200.0,1946-01-03,University of Dayton,/players/m/maydo01.html,maydo01,0,76.0
Scott May,1977,1983,F,6-7,215.0,1954-03-19,Indiana University,/players/m/maysc01.html,maysc01,0,79.0
Sean May,2006,2010,F,6-9,266.0,1984-04-04,University of North Carolina,/players/m/mayse01.html,mayse01,0,81.0
Lee Mayberry,1993,1999,G,6-1,172.0,1970-06-12,University of Arkansas,/players/m/maybele01.html,maybele01,0,73.0
Clyde Mayes,1976,1977,F,6-8,225.0,1953-03-17,Furman University,/players/m/mayescl01.html,mayescl01,0,80.0
Tharon Mayes,1992,1992,G,6-3,175.0,1968-09-09,Florida State University,/players/m/mayesth01.html,mayesth01,0,75.0
Bill Mayfield,1981,1981,F,6-7,205.0,1957-10-17,University of Iowa,/players/m/mayfibi01.html,mayfibi01,0,79.0
Ken Mayfield,1976,1976,G,6-2,185.0,1948-05-11,Tuskegee University,/players/m/mayfike01.html,mayfike01,0,74.0
Eric Maynor,2010,2014,G,6-3,175.0,1987-06-11,Virginia Commonwealth University,/players/m/maynoer01.html,maynoer01,0,75.0
O.J. Mayo,2009,2016,G,6-5,210.0,1987-11-05,University of Southern California,/players/m/mayooj01.html,mayooj01,0,77.0
Travis Mays,1991,1993,G,6-2,190.0,1968-06-19,University of Texas at Austin,/players/m/maystr01.html,maystr01,0,74.0
Matt Mazza,1950,1950,F,6-3,210.0,1923-09-23,Michigan State University,/players/m/mazzama01.html,mazzama01,0,75.0
Luc Mbah a Moute,2009,2017,F,6-8,230.0,1986-09-09,"University of California, Los Angeles",/players/m/mbahalu01.html,mbahalu01,0,80.0
Bob McAdoo,1973,1986,C-F,6-9,210.0,1951-09-25,University of North Carolina,/players/m/mcadobo01.html,mcadobo01,1,81.0
James Michael McAdoo,2015,2017,F,6-9,230.0,1993-01-04,University of North Carolina,/players/m/mcadoja01.html,mcadoja01,0,81.0
Ken McBride,1955,1955,G-F,6-3,190.0,,University of Maryland Eastern Shore,/players/m/mcbrike01.html,mcbrike01,0,75.0
Ray McCallum,2014,2016,G,6-3,190.0,1991-06-12,University of Detroit Mercy,/players/m/mccalra01.html,mccalra01,0,75.0
Bob McCann,1990,1998,F,6-6,244.0,1964-04-22,Morehead State University,/players/m/mccanbo01.html,mccanbo01,0,78.0
Brendan McCann,1958,1960,G,6-2,178.0,1935-07-05,St. Bonaventure University,/players/m/mccanbr01.html,mccanbr01,0,74.0
Mel McCants,1990,1990,F,6-8,240.0,1967-08-19,Purdue University,/players/m/mccanme01.html,mccanme01,0,80.0
Rashad McCants,2006,2009,G,6-4,207.0,1984-09-25,University of North Carolina,/players/m/mccanra01.html,mccanra01,0,76.0
Mike McCarron,1947,1950,G,5-11,180.0,1922-03-02,Seton Hall University,/players/m/mccarmi01.html,mccarmi01,0,71.0
Andre McCarter,1977,1981,G,6-3,190.0,1953-08-25,"University of California, Los Angeles",/players/m/mccaran01.html,mccaran01,0,75.0
Willie McCarter,1970,1972,G,6-3,175.0,1946-07-26,Drake University,/players/m/mccarwi01.html,mccarwi01,0,75.0
Johnny McCarthy,1957,1964,G,6-1,185.0,1934-04-25,Canisius College,/players/m/mccarjo01.html,mccarjo01,0,73.0
Howie McCarty,1947,1947,F-G,6-2,190.0,,Wayne State University,/players/m/mccarho01.html,mccarho01,0,74.0
Kelly McCarty,1999,1999,G-F,6-7,200.0,1975-08-24,University of Southern Mississippi,/players/m/mccarke01.html,mccarke01,0,79.0
Walter McCarty,1997,2006,F,6-10,230.0,1974-02-01,University of Kentucky,/players/m/mccarwa01.html,mccarwa01,0,82.0
Amal McCaskill,1997,2004,F-C,6-11,235.0,1973-10-28,Marquette University,/players/m/mccasam01.html,mccasam01,0,83.0
Patrick McCaw,2017,2017,G,6-7,185.0,1995-10-25,"University of Nevada, Las Vegas",/players/m/mccawpa01.html,mccawpa01,0,79.0
Dwayne McClain,1986,1986,G,6-6,185.0,1963-02-07,Villanova University,/players/m/mccladw01.html,mccladw01,0,78.0
Ted McClain,1972,1979,G,6-1,180.0,1946-08-30,Tennessee State University,/players/m/mcclate01.html,mcclate01,0,73.0
Sheldon McClellan,2017,2017,G,6-5,200.0,1992-12-21,University of Miami,/players/m/mcclesh01.html,mcclesh01,0,77.0
Dan McClintock,2001,2001,C,7-0,270.0,1977-04-19,Northern Arizona University,/players/m/mcclida01.html,mcclida01,0,84.0
Jack McCloskey,1953,1953,G,6-2,190.0,1925-09-19,University of Pennsylvania,/players/m/mccloja01.html,mccloja01,0,74.0
George McCloud,1990,2002,G-F,6-6,205.0,1967-05-27,Florida State University,/players/m/mccloge01.html,mccloge01,0,78.0
C.J. McCollum,2014,2017,G,6-4,200.0,1991-09-19,Lehigh University,/players/m/mccolcj01.html,mccolcj01,0,76.0
John McConathy,1952,1952,F,6-5,195.0,1930-04-09,Northwestern State University,/players/m/mcconjo01.html,mcconjo01,0,77.0
Bucky McConnell,1953,1953,G,5-10,170.0,1928-07-01,Marshall University,/players/m/mcconbu01.html,mcconbu01,0,70.0
T.J. McConnell,2016,2017,G,6-2,200.0,1992-03-25,University of Arizona,/players/m/mccontj01.html,mccontj01,0,74.0
Keith McCord,1981,1981,G,6-7,210.0,1957-06-22,University of Alabama at Birmingham,/players/m/mccorke01.html,mccorke01,0,79.0
Tim McCormick,1985,1992,C,6-11,240.0,1962-03-10,University of Michigan,/players/m/mccorti01.html,mccorti01,0,83.0
Jelani McCoy,1999,2008,C,6-10,245.0,1977-12-06,"University of California, Los Angeles",/players/m/mccoyje01.html,mccoyje01,0,82.0
Paul McCracken,1973,1977,G,6-4,180.0,1950-09-11,"California State University, Northridge",/players/m/mccrapa01.html,mccrapa01,0,76.0
Chris McCray,2007,2007,G,6-5,192.0,1984-05-27,University of Maryland,/players/m/mccrach01.html,mccrach01,0,77.0
Rodney McCray,1984,1993,F-G,6-7,220.0,1961-08-29,University of Louisville,/players/m/mccraro01.html,mccraro01,0,79.0
Scooter McCray,1984,1987,F-G,6-9,215.0,1960-02-08,University of Louisville,/players/m/mccrasc01.html,mccrasc01,0,81.0
Chris McCullough,2016,2017,F,6-11,200.0,1995-02-05,Syracuse University,/players/m/mcculch01.html,mcculch01,0,83.0
John McCullough,1982,1982,G,6-4,190.0,1956-10-05,University of Oklahoma,/players/m/mcculjo01.html,mcculjo01,0,76.0
Clint McDaniel,1996,1996,G,6-4,180.0,1972-02-26,University of Arkansas,/players/m/mcdancl01.html,mcdancl01,0,76.0
Xavier McDaniel,1986,1998,F,6-7,205.0,1963-06-04,Wichita State University,/players/m/mcdanxa01.html,mcdanxa01,0,79.0
Jim McDaniels,1972,1978,C-F,6-11,228.0,1948-04-02,Western Kentucky University,/players/m/mcdanji01.html,mcdanji01,0,83.0
K.J. McDaniels,2015,2017,G-F,6-6,205.0,1993-02-09,Clemson University,/players/m/mcdankj01.html,mcdankj01,0,78.0
Doug McDermott,2015,2017,F,6-8,225.0,1992-01-03,Creighton University,/players/m/mcderdo01.html,mcderdo01,0,80.0
Ben McDonald,1986,1989,F,6-8,210.0,1962-07-20,"University of California, Irvine",/players/m/mcdonbe01.html,mcdonbe01,0,80.0
Glenn McDonald,1975,1977,F-G,6-6,190.0,1952-03-18,"California State University, Long Beach",/players/m/mcdongl01.html,mcdongl01,0,78.0
Michael McDonald,1998,1998,C,6-10,232.0,1969-02-13,University of New Orleans,/players/m/mcdonmi01.html,mcdonmi01,0,82.0
Roderick McDonald,1971,1973,F,6-6,205.0,1945-04-09,Whitworth,/players/m/mcdonro01.html,mcdonro01,0,78.0
Hank McDowell,1982,1987,F-C,6-9,215.0,1959-11-13,University of Memphis,/players/m/mcdowha01.html,mcdowha01,0,81.0
Antonio McDyess,1996,2011,F-C,6-9,220.0,1974-09-07,University of Alabama,/players/m/mcdyean01.html,mcdyean01,0,81.0
Jim McElroy,1976,1982,G,6-3,190.0,1953-10-04,Central Michigan University,/players/m/mcelrji01.html,mcelrji01,0,75.0
Patrick McFarland,1974,1976,F-G,6-5,185.0,1951-12-07,Saint Joseph's University,/players/m/mcfarpa01.html,mcfarpa01,0,77.0
Ivan McFarlin,2007,2007,F,6-8,240.0,1982-04-26,Oklahoma State University,/players/m/mcfariv01.html,mcfariv01,0,80.0
Mel McGaha,1949,1949,G,6-1,190.0,1926-09-26,University of Arkansas,/players/m/mcgahme01.html,mcgahme01,0,73.0
Mitch McGary,2015,2016,F-C,6-10,255.0,1992-06-06,University of Michigan,/players/m/mcgarmi01.html,mcgarmi01,0,82.0
JaVale McGee,2009,2017,C,7-0,270.0,1988-01-19,"University of Nevada, Reno",/players/m/mcgeeja01.html,mcgeeja01,0,84.0
Mike McGee,1982,1990,G-F,6-5,190.0,1959-07-29,University of Michigan,/players/m/mcgeemi01.html,mcgeemi01,0,77.0
Bill McGill,1963,1970,C-F,6-9,225.0,1939-09-16,University of Utah,/players/m/mcgilbi01.html,mcgilbi01,0,81.0
George McGinnis,1972,1982,F-C,6-8,235.0,1950-08-12,Indiana University,/players/m/mcginge01.html,mcginge01,1,80.0
Jon McGlocklin,1966,1976,G-F,6-5,205.0,1943-06-10,Indiana University,/players/m/mcglojo01.html,mcglojo01,0,77.0
Tracy McGrady,1998,2012,F-G,6-8,210.0,1979-05-24,,/players/m/mcgratr01.html,mcgratr01,1,80.0
Gil McGregor,1972,1972,F,6-8,240.0,1949-06-14,Wake Forest University,/players/m/mcgregi01.html,mcgregi01,0,80.0
Elton McGriff,1968,1969,C,6-9,225.0,1942-08-21,Creighton University,/players/m/mcgriel01.html,mcgriel01,0,81.0
Rodney McGruder,2017,2017,G,6-4,205.0,1991-07-29,Kansas State University,/players/m/mcgruro01.html,mcgruro01,0,76.0
Alfred McGuire,1952,1955,G-F,6-2,180.0,1928-09-07,St. John's University,/players/m/mcguial01.html,mcguial01,1,74.0
Allie McGuire,1974,1974,G,6-3,175.0,1951-07-10,Marquette University,/players/m/mcguial02.html,mcguial02,0,75.0
Dick McGuire,1950,1960,G,6-0,180.0,1926-01-25,St. John's University,/players/m/mcguidi01.html,mcguidi01,1,72.0
Dominic McGuire,2008,2013,F,6-9,220.0,1985-10-20,"California State University, Fresno",/players/m/mcguido01.html,mcguido01,0,81.0
Kevin McHale,1981,1993,F-C,6-10,210.0,1957-12-19,University of Minnesota,/players/m/mchalke01.html,mchalke01,1,82.0
Maurice McHartley,1968,1970,G-F,6-3,185.0,1942-08-01,North Carolina Agricultural and Technical State University,/players/m/mcharma01.html,mcharma01,0,75.0
Jim McIlvaine,1995,2001,C,7-1,240.0,1972-07-30,Marquette University,/players/m/mcilvji01.html,mcilvji01,0,85.0
Jeff McInnis,1997,2008,G,6-4,190.0,1974-10-22,University of North Carolina,/players/m/mcinnje01.html,mcinnje01,0,76.0
Kenny McIntosh,1972,1975,F,6-7,225.0,1949-01-21,Eastern Michigan University,/players/m/mcintke01.html,mcintke01,0,79.0
Bob McIntyre,1968,1970,F,6-6,215.0,1944-01-23,St. John's University,/players/m/mcintbo01.html,mcintbo01,0,78.0
Jerry McKee,1970,1970,G,6-3,190.0,1946-08-04,Ohio University,/players/m/mckeeje01.html,mckeeje01,0,75.0
Kevin McKenna,1982,1988,G-F,6-5,195.0,1959-01-08,Creighton University,/players/m/mckenke01.html,mckenke01,0,77.0
Forrest McKenzie,1987,1987,F,6-7,200.0,1963-02-16,Loyola Marymount University,/players/m/mckenfo01.html,mckenfo01,0,79.0
Stan McKenzie,1968,1974,F-G,6-5,195.0,1944-10-06,New York University,/players/m/mckenst01.html,mckenst01,0,77.0
Derrick McKey,1988,2002,F-C,6-9,205.0,1966-10-10,University of Alabama,/players/m/mckeyde01.html,mckeyde01,0,81.0
Aaron McKie,1995,2007,G,6-5,209.0,1972-10-02,Temple University,/players/m/mckieaa01.html,mckieaa01,0,77.0
Billy McKinney,1979,1986,G,6-0,160.0,1955-06-05,Northwestern University,/players/m/mckinbi01.html,mckinbi01,0,72.0
Bones McKinney,1947,1952,F-C,6-6,185.0,1919-01-01,University of North Carolina,/players/m/mckinbo01.html,mckinbo01,0,78.0
Carlton McKinney,1990,1992,G,6-4,190.0,1964-10-21,Southern Methodist University,/players/m/mckinca01.html,mckinca01,0,76.0
Ben McLemore,2014,2017,G,6-5,195.0,1993-02-11,University of Kansas,/players/m/mclembe01.html,mclembe01,0,77.0
McCoy McLemore,1965,1972,F-C,6-7,230.0,1942-04-03,Drake University,/players/m/mclemmc01.html,mclemmc01,0,79.0
George McLeod,1953,1953,F,6-5,200.0,1931-01-03,Texas Christian University,/players/m/mcleoge01.html,mcleoge01,0,77.0
Keith McLeod,2004,2007,G,6-2,188.0,1979-11-05,Bowling Green State University,/players/m/mcleoke01.html,mcleoke01,0,74.0
Roshown McLeod,1999,2001,F,6-8,221.0,1975-11-17,Duke University,/players/m/mcleoro01.html,mcleoro01,0,80.0
Jack McMahon,1953,1960,G,6-1,185.0,1928-12-03,St. John's University,/players/m/mcmahja01.html,mcmahja01,0,73.0
Nate McMillan,1987,1998,G-F,6-5,195.0,1964-08-03,North Carolina State University,/players/m/mcmilna01.html,mcmilna01,0,77.0
Tom McMillen,1976,1986,F-C,6-11,215.0,1952-05-26,University of Maryland,/players/m/mcmilto01.html,mcmilto01,0,83.0
Jim McMillian,1971,1979,F,6-5,215.0,1948-03-11,Columbia University,/players/m/mcmilji01.html,mcmilji01,0,77.0
Shellie McMillon,1959,1962,F,6-5,205.0,1936-03-11,Bradley University,/players/m/mcmilsh01.html,mcmilsh01,0,77.0
Mal McMullen,1950,1951,F-C,6-5,210.0,1927-08-23,Xavier University,/players/m/mcmulma01.html,mcmulma01,0,77.0
Chet McNabb,1948,1948,F,6-2,200.0,1920-09-19,Arizona State University,/players/m/mcnabch01.html,mcnabch01,0,74.0
Mark McNamara,1983,1991,C-F,6-11,235.0,1959-06-08,University of California,/players/m/mcnamma01.html,mcnamma01,0,83.0
Joe McNamee,1951,1952,F-C,6-6,210.0,1926-09-24,University of San Francisco,/players/m/mcnamjo01.html,mcnamjo01,0,78.0
Jerel McNeal,2015,2015,G,6-3,200.0,1987-06-01,Marquette University,/players/m/mcneaje01.html,mcneaje01,0,75.0
Chris McNealy,1986,1988,F,6-7,210.0,1961-07-15,San Jose State University,/players/m/mcneach01.html,mcneach01,0,79.0
