Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Brian Roberts,2013,2017,G,6-1,173.0,1985-12-03,University of Dayton,/players/r/roberbr01.html,roberbr01,0,73.0,http://www.sports-reference.com/cbb/players/brian-roberts-1.html
Fred Roberts,1984,1997,F-C,6-10,218.0,1960-08-14,Brigham Young University,/players/r/roberfr01.html,roberfr01,0,82.0,http://www.sports-reference.com/cbb/players/fred-roberts-1.html
Joe Roberts,1961,1968,F,6-6,214.0,1936-05-18,Ohio State University,/players/r/roberjo01.html,roberjo01,0,78.0,"['http://www.basketball-reference.com/players/r/roberjo01.html', IndexError('list index out of range',)]"
Lawrence Roberts,2006,2007,F,6-9,240.0,1982-10-20,Mississippi State University,/players/r/roberla01.html,roberla01,0,81.0,http://www.sports-reference.com/cbb/players/lawrence-roberts-1.html
Marv Roberts,1972,1977,F-C,6-8,200.0,1950-01-29,Utah State University,/players/r/roberma01.html,roberma01,0,80.0,"['http://www.basketball-reference.com/players/r/roberma01.html', IndexError('list index out of range',)]"
Stanley Roberts,1992,2000,C,7-0,285.0,1970-02-07,Louisiana State University,/players/r/roberst01.html,roberst01,0,84.0,http://www.sports-reference.com/cbb/players/stanley-roberts-1.html
Alvin Robertson,1985,1996,G,6-3,185.0,1962-07-22,University of Arkansas,/players/r/roberal01.html,roberal01,0,75.0,http://www.sports-reference.com/cbb/players/alvin-robertson-1.html
Oscar Robertson,1961,1974,G-F,6-5,205.0,1938-11-24,University of Cincinnati,/players/r/roberos01.html,roberos01,1,77.0,http://www.sports-reference.com/cbb/players/oscar-robertson-1.html
Ryan Robertson,2000,2000,G,6-5,190.0,1976-10-02,University of Kansas,/players/r/roberry01.html,roberry01,0,77.0,http://www.sports-reference.com/cbb/players/ryan-robertson-1.html
Tony Robertson,1978,1979,G,6-4,195.0,1956-01-01,West Virginia University,/players/r/roberto01.html,roberto01,0,76.0,"['http://www.basketball-reference.com/players/r/roberto01.html', IndexError('list index out of range',)]"
Rick Robey,1979,1986,C-F,6-11,230.0,1956-01-30,University of Kentucky,/players/r/robeyri01.html,robeyri01,0,83.0,http://www.sports-reference.com/cbb/players/rick-robey-1.html
Bernard Robinson,2005,2007,G-F,6-6,210.0,1980-12-26,University of Michigan,/players/r/robinbe01.html,robinbe01,0,78.0,http://www.sports-reference.com/cbb/players/bernard-robinson-1.html
Chris Robinson,1997,1998,G,6-5,200.0,1974-04-02,Western Kentucky University,/players/r/robinch01.html,robinch01,0,77.0,http://www.sports-reference.com/cbb/players/chris-robinson-1.html
Cliff Robinson,1980,1992,F,6-9,220.0,1960-03-13,University of Southern California,/players/r/robincl01.html,robincl01,0,81.0,http://www.sports-reference.com/cbb/players/cliff-robinson-1.html
Clifford Robinson,1990,2007,F-C,6-10,225.0,1966-12-16,University of Connecticut,/players/r/robincl02.html,robincl02,0,82.0,http://www.sports-reference.com/cbb/players/clifford-robinson-1.html
David Robinson,1990,2003,C,7-1,235.0,1965-08-06,United States Naval Academy,/players/r/robinda01.html,robinda01,1,85.0,http://www.sports-reference.com/cbb/players/david-robinson-1.html
Eddie Robinson,2000,2004,G-F,6-8,210.0,1976-04-19,University of Central Oklahoma,/players/r/robined01.html,robined01,0,80.0,"['http://www.basketball-reference.com/players/r/robined01.html', IndexError('list index out of range',)]"
Flynn Robinson,1967,1974,G,6-1,185.0,1941-04-28,University of Wyoming,/players/r/robinfl01.html,robinfl01,0,73.0,"['http://www.basketball-reference.com/players/r/robinfl01.html', IndexError('list index out of range',)]"
Glenn Robinson,1995,2005,F,6-7,225.0,1973-01-10,Purdue University,/players/r/robingl01.html,robingl01,0,79.0,http://www.sports-reference.com/cbb/players/glenn-robinson-1.html
Glenn Robinson,2015,2017,G-F,6-6,222.0,1994-01-08,University of Michigan,/players/r/robingl02.html,robingl02,0,78.0,http://www.sports-reference.com/cbb/players/glenn-robinson-2.html
Jackie Robinson,1979,1982,F,6-6,210.0,1955-05-20,"University of Nevada, Las Vegas",/players/r/robinja01.html,robinja01,0,78.0,http://www.sports-reference.com/cbb/players/jackie-robinson-1.html
Jamal Robinson,2001,2001,F,6-7,212.0,1973-12-27,University of Virginia,/players/r/robinja03.html,robinja03,0,79.0,http://www.sports-reference.com/cbb/players/jamal-robinson-1.html
James Robinson,1994,2001,G,6-2,180.0,1970-08-31,University of Alabama,/players/r/robinja02.html,robinja02,0,74.0,http://www.sports-reference.com/cbb/players/james-robinson-1.html
Larry Robinson,1991,2002,F-G,6-3,180.0,1968-01-11,Centenary College of Louisiana,/players/r/robinla01.html,robinla01,0,75.0,http://www.sports-reference.com/cbb/players/larry-robinson-1.html
Nate Robinson,2006,2016,G,5-9,180.0,1984-05-31,University of Washington,/players/r/robinna01.html,robinna01,0,69.0,http://www.sports-reference.com/cbb/players/nate-robinson-1.html
Oliver Robinson,1983,1983,G,6-4,180.0,1960-03-13,University of Alabama at Birmingham,/players/r/robinol01.html,robinol01,0,76.0,http://www.sports-reference.com/cbb/players/oliver-robinson-1.html
Ronnie Robinson,1974,1975,F,6-8,200.0,1951-03-09,University of Memphis,/players/r/robinro01.html,robinro01,0,80.0,"['http://www.basketball-reference.com/players/r/robinro01.html', IndexError('list index out of range',)]"
Rumeal Robinson,1991,1997,G,6-2,195.0,1966-11-13,University of Michigan,/players/r/robinru01.html,robinru01,0,74.0,http://www.sports-reference.com/cbb/players/rumeal-robinson-1.html
Samuel Robinson,1971,1972,F,6-7,190.0,1948-01-01,"California State University, Long Beach",/players/r/robinsa01.html,robinsa01,0,79.0,"['http://www.basketball-reference.com/players/r/robinsa01.html', IndexError('list index out of range',)]"
Thomas Robinson,2013,2017,F,6-10,237.0,1991-03-17,University of Kansas,/players/r/robinth01.html,robinth01,0,82.0,http://www.sports-reference.com/cbb/players/thomas-robinson-2.html
Truck Robinson,1975,1985,F-C,6-7,225.0,1951-10-04,Tennessee State University,/players/r/robintr01.html,robintr01,0,79.0,"['http://www.basketball-reference.com/players/r/robintr01.html', IndexError('list index out of range',)]"
Wayne Robinson,1981,1981,F,6-8,217.0,1958-04-19,Virginia Polytechnic Institute and State University,/players/r/robinwa01.html,robinwa01,0,80.0,http://www.sports-reference.com/cbb/players/wayne-robinson-1.html
Wilbert Robinson,1974,1974,G,6-2,175.0,1949-12-25,West Virginia University,/players/r/robinwi01.html,robinwi01,0,74.0,"['http://www.basketball-reference.com/players/r/robinwi01.html', IndexError('list index out of range',)]"
Bill Robinzine,1976,1982,F,6-7,230.0,1953-01-20,DePaul University,/players/r/robinbi01.html,robinbi01,0,79.0,http://www.sports-reference.com/cbb/players/bill-robinzine-1.html
Dave Robisch,1972,1984,C-F,6-10,235.0,1949-12-22,University of Kansas,/players/r/robisda01.html,robisda01,0,82.0,http://www.sports-reference.com/cbb/players/dave-robisch-1.html
Red Rocha,1948,1957,C-F,6-9,185.0,1923-09-18,Oregon State University,/players/r/rochare01.html,rochare01,0,81.0,"['http://www.basketball-reference.com/players/r/rochare01.html', IndexError('list index out of range',)]"
John Roche,1972,1982,G,6-3,170.0,1949-09-26,University of South Carolina,/players/r/rochejo01.html,rochejo01,0,75.0,http://www.sports-reference.com/cbb/players/john-roche-1.html
Gene Rock,1948,1948,G,5-9,155.0,1921-11-04,University of Southern California,/players/r/rockge01.html,rockge01,0,69.0,"['http://www.basketball-reference.com/players/r/rockge01.html', IndexError('list index out of range',)]"
Jack Rocker,1948,1948,C-F,6-5,185.0,1922-08-12,University of California,/players/r/rockeja01.html,rockeja01,0,77.0,"['http://www.basketball-reference.com/players/r/rockeja01.html', IndexError('list index out of range',)]"
Guy Rodgers,1959,1970,G,6-0,185.0,1935-09-01,Temple University,/players/r/rodgegu01.html,rodgegu01,1,72.0,http://www.sports-reference.com/cbb/players/guy-rodgers-1.html
Dennis Rodman,1987,2000,F,6-7,210.0,1961-05-13,Southeastern Oklahoma State University,/players/r/rodmade01.html,rodmade01,1,79.0,"['http://www.basketball-reference.com/players/r/rodmade01.html', IndexError('list index out of range',)]"
Sergio Rodriguez,2007,2017,G,6-3,176.0,1986-06-12,,/players/r/rodrise01.html,rodrise01,0,75.0,"['http://www.basketball-reference.com/players/r/rodrise01.html', IndexError('list index out of range',)]"
Lou Roe,1996,1997,F,6-7,220.0,1972-07-14,University of Massachusetts Amherst,/players/r/roelo01.html,roelo01,0,79.0,http://www.sports-reference.com/cbb/players/lou-roe-1.html
Carlos Rogers,1995,2002,C-F,6-11,220.0,1971-02-06,Tennessee State University,/players/r/rogerca01.html,rogerca01,0,83.0,http://www.sports-reference.com/cbb/players/carlos-rogers-1.html
Harry Rogers,1976,1976,F,6-7,195.0,1950-12-31,Saint Louis University,/players/r/rogerha01.html,rogerha01,0,79.0,"['http://www.basketball-reference.com/players/r/rogerha01.html', IndexError('list index out of range',)]"
Johnny Rogers,1987,1988,F-C,6-10,225.0,1963-12-30,"University of California, Irvine",/players/r/rogerjo01.html,rogerjo01,0,82.0,http://www.sports-reference.com/cbb/players/johnny-rogers-1.html
Marshall Rogers,1977,1977,G,6-1,190.0,1953-08-27,University of Texas-Pan American,/players/r/rogerma01.html,rogerma01,0,73.0,"['http://www.basketball-reference.com/players/r/rogerma01.html', IndexError('list index out of range',)]"
Rodney Rogers,1994,2005,F,6-7,235.0,1971-06-20,Wake Forest University,/players/r/rogerro01.html,rogerro01,0,79.0,http://www.sports-reference.com/cbb/players/rodney-rogers-1.html
Roy Rogers,1997,2000,F,6-10,235.0,1973-08-19,University of Alabama,/players/r/rogerro02.html,rogerro02,0,82.0,http://www.sports-reference.com/cbb/players/roy-rogers-1.html
Willie Rogers,1969,1969,G-F,6-3,185.0,1945-09-11,University of Oklahoma,/players/r/rogerwi01.html,rogerwi01,0,75.0,"['http://www.basketball-reference.com/players/r/rogerwi01.html', IndexError('list index out of range',)]"
Al Roges,1954,1955,G-F,6-4,195.0,1930-10-25,Long Island University,/players/r/rogesal01.html,rogesal01,0,76.0,"['http://www.basketball-reference.com/players/r/rogesal01.html', IndexError('list index out of range',)]"
Ken Rohloff,1964,1964,G,6-0,195.0,1939-04-18,North Carolina State University,/players/r/rohloke01.html,rohloke01,0,72.0,"['http://www.basketball-reference.com/players/r/rohloke01.html', IndexError('list index out of range',)]"
Kenny Rollins,1949,1953,G,6-0,168.0,1923-09-14,University of Kentucky,/players/r/rollike01.html,rollike01,0,72.0,"['http://www.basketball-reference.com/players/r/rollike01.html', IndexError('list index out of range',)]"
Phil Rollins,1959,1961,G,6-2,185.0,1934-01-19,University of Louisville,/players/r/rolliph01.html,rolliph01,0,74.0,"['http://www.basketball-reference.com/players/r/rolliph01.html', IndexError('list index out of range',)]"
Tree Rollins,1978,1995,C,7-1,235.0,1955-06-16,Clemson University,/players/r/rollitr01.html,rollitr01,0,85.0,http://www.sports-reference.com/cbb/players/tree-rollins-1.html
Lorenzo Romar,1981,1985,G,6-1,175.0,1958-11-13,University of Washington,/players/r/romarlo01.html,romarlo01,0,73.0,http://www.sports-reference.com/cbb/players/lorenzo-romar-1.html
Rajon Rondo,2007,2017,G,6-1,186.0,1986-02-22,University of Kentucky,/players/r/rondora01.html,rondora01,0,73.0,http://www.sports-reference.com/cbb/players/rajon-rondo-1.html
Jerry Rook,1970,1970,F,6-5,219.0,1943-10-27,Arkansas State University,/players/r/rookje01.html,rookje01,0,77.0,"['http://www.basketball-reference.com/players/r/rookje01.html', IndexError('list index out of range',)]"
Sean Rooks,1993,2004,C,6-10,250.0,1969-09-09,University of Arizona,/players/r/rooksse01.html,rooksse01,0,82.0,http://www.sports-reference.com/cbb/players/sean-rooks-1.html
Derrick Rose,2009,2017,G,6-3,190.0,1988-10-04,University of Memphis,/players/r/rosede01.html,rosede01,0,75.0,http://www.sports-reference.com/cbb/players/derrick-rose-1.html
Jalen Rose,1995,2007,G-F,6-8,210.0,1973-01-30,University of Michigan,/players/r/roseja01.html,roseja01,0,80.0,http://www.sports-reference.com/cbb/players/jalen-rose-1.html
Malik Rose,1997,2009,F,6-7,250.0,1974-11-23,Drexel University,/players/r/rosema01.html,rosema01,0,79.0,http://www.sports-reference.com/cbb/players/malik-rose-1.html
Rob Rose,1989,1989,G,6-5,180.0,1964-12-27,George Mason University,/players/r/rosero01.html,rosero01,0,77.0,"['http://www.basketball-reference.com/players/r/rosero01.html', IndexError('list index out of range',)]"
Petey Rosenberg,1947,1947,G,5-10,165.0,1918-04-07,Saint Joseph's University,/players/r/rosenpe01.html,rosenpe01,0,70.0,"['http://www.basketball-reference.com/players/r/rosenpe01.html', IndexError('list index out of range',)]"
Lennie Rosenbluth,1958,1959,F,6-4,190.0,1933-01-22,University of North Carolina,/players/r/rosenle01.html,rosenle01,0,76.0,"['http://www.basketball-reference.com/players/r/rosenle01.html', IndexError('list index out of range',)]"
Hank Rosenstein,1947,1947,F,6-4,185.0,1920-06-16,City College of New York,/players/r/rosenha01.html,rosenha01,0,76.0,"['http://www.basketball-reference.com/players/r/rosenha01.html', IndexError('list index out of range',)]"
Dick Rosenthal,1955,1957,F-G,6-5,205.0,1930-01-20,University of Notre Dame,/players/r/rosendi01.html,rosendi01,0,77.0,"['http://www.basketball-reference.com/players/r/rosendi01.html', IndexError('list index out of range',)]"
Quinton Ross,2005,2011,G,6-6,195.0,1981-04-30,Southern Methodist University,/players/r/rossqu01.html,rossqu01,0,78.0,http://www.sports-reference.com/cbb/players/quinton-ross-1.html
Terrence Ross,2013,2017,F-G,6-7,206.0,1991-02-05,University of Washington,/players/r/rosste01.html,rosste01,0,79.0,http://www.sports-reference.com/cbb/players/terrence-ross-1.html
Doug Roth,1990,1990,C,6-11,255.0,1967-08-24,University of Tennessee,/players/r/rothdo01.html,rothdo01,0,83.0,http://www.sports-reference.com/cbb/players/doug-roth-1.html
Scott Roth,1988,1990,F,6-8,212.0,1963-06-03,University of Wisconsin,/players/r/rothsc01.html,rothsc01,0,80.0,http://www.sports-reference.com/cbb/players/scott-roth-1.html
Irv Rothenberg,1947,1949,C,6-7,215.0,1921-12-31,Long Island University,/players/r/rotheir01.html,rotheir01,0,79.0,"['http://www.basketball-reference.com/players/r/rotheir01.html', IndexError('list index out of range',)]"
Mickey Rottner,1947,1948,G,5-10,180.0,1919-03-23,Loyola University of Chicago,/players/r/rottnmi01.html,rottnmi01,0,70.0,"['http://www.basketball-reference.com/players/r/rottnmi01.html', IndexError('list index out of range',)]"
Dan Roundfield,1976,1987,F-C,6-8,205.0,1953-05-26,Central Michigan University,/players/r/roundda01.html,roundda01,0,80.0,http://www.sports-reference.com/cbb/players/dan-roundfield-1.html
Giff Roux,1947,1949,F-C,6-5,195.0,1923-06-28,University of Kansas,/players/r/rouxgi01.html,rouxgi01,0,77.0,"['http://www.basketball-reference.com/players/r/rouxgi01.html', IndexError('list index out of range',)]"
Ron Rowan,1987,1987,G,6-5,200.0,1962-04-23,St. John's University,/players/r/rowanro01.html,rowanro01,0,77.0,http://www.sports-reference.com/cbb/players/ron-rowan-1.html
Curtis Rowe,1972,1979,F,6-7,225.0,1949-07-02,"University of California, Los Angeles",/players/r/rowecu01.html,rowecu01,0,79.0,"['http://www.basketball-reference.com/players/r/rowecu01.html', IndexError('list index out of range',)]"
Jim Rowinski,1989,1990,F-C,6-8,250.0,1961-01-04,Purdue University,/players/r/rowinji01.html,rowinji01,0,80.0,http://www.sports-reference.com/cbb/players/jim-rowinski-1.html
Derrick Rowland,1986,1986,G,6-5,195.0,1959-06-21,State University of New York at Potsdam,/players/r/rowlade01.html,rowlade01,0,77.0,"['http://www.basketball-reference.com/players/r/rowlade01.html', IndexError('list index out of range',)]"
Brian Rowsom,1988,1990,F,6-9,220.0,1965-10-23,University of North Carolina at Wilmington,/players/r/rowsobr01.html,rowsobr01,0,81.0,http://www.sports-reference.com/cbb/players/brian-rowsom-1.html
Brandon Roy,2007,2013,G,6-6,215.0,1984-07-23,University of Washington,/players/r/roybr01.html,roybr01,0,78.0,http://www.sports-reference.com/cbb/players/brandon-roy-1.html
Donald Royal,1990,1998,F,6-8,210.0,1966-05-22,University of Notre Dame,/players/r/royaldo01.html,royaldo01,0,80.0,http://www.sports-reference.com/cbb/players/donald-royal-1.html
Reggie Royals,1975,1975,C,6-10,200.0,1950-09-18,Florida State University,/players/r/royalre01.html,royalre01,0,82.0,"['http://www.basketball-reference.com/players/r/royalre01.html', IndexError('list index out of range',)]"
Bob Royer,1950,1950,G,5-10,155.0,1927-10-15,Indiana State University,/players/r/royerbo01.html,royerbo01,0,70.0,"['http://www.basketball-reference.com/players/r/royerbo01.html', IndexError('list index out of range',)]"
Clifford Rozier,1995,1998,C-F,6-11,245.0,1972-10-31,University of Louisville,/players/r/roziecl01.html,roziecl01,0,83.0,http://www.sports-reference.com/cbb/players/clifford-rozier-1.html
Terry Rozier,2016,2017,G,6-2,190.0,1994-03-17,University of Louisville,/players/r/roziete01.html,roziete01,0,74.0,http://www.sports-reference.com/cbb/players/terry-rozier-1.html
Ricky Rubio,2012,2017,G,6-4,194.0,1990-10-21,,/players/r/rubiori01.html,rubiori01,0,76.0,"['http://www.basketball-reference.com/players/r/rubiori01.html', IndexError('list index out of range',)]"
Guy Rucker,2003,2003,F-C,6-11,265.0,1977-07-27,University of Iowa,/players/r/ruckegu01.html,ruckegu01,0,83.0,http://www.sports-reference.com/cbb/players/guy-rucker-1.html
Delaney Rudd,1990,1993,G,6-2,180.0,1962-11-08,Wake Forest University,/players/r/ruddde01.html,ruddde01,0,74.0,http://www.sports-reference.com/cbb/players/delaney-rudd-1.html
John Rudd,1979,1979,F,6-7,230.0,1955-08-07,McNeese State University,/players/r/ruddjo01.html,ruddjo01,0,79.0,"['http://www.basketball-reference.com/players/r/ruddjo01.html', IndexError('list index out of range',)]"
Damjan Rudez,2015,2017,F,6-10,228.0,1986-06-17,,/players/r/rudezda01.html,rudezda01,0,82.0,"['http://www.basketball-reference.com/players/r/rudezda01.html', IndexError('list index out of range',)]"
John Rudometkin,1963,1965,F,6-6,205.0,1940-06-06,University of Southern California,/players/r/rudomjo01.html,rudomjo01,0,78.0,"['http://www.basketball-reference.com/players/r/rudomjo01.html', IndexError('list index out of range',)]"
Michael Ruffin,2000,2009,F,6-9,246.0,1977-01-21,University of Tulsa,/players/r/ruffimi01.html,ruffimi01,0,81.0,http://www.sports-reference.com/cbb/players/michael-ruffin-1.html
Trevor Ruffin,1995,1996,G,6-1,185.0,1970-09-26,University of Hawaii,/players/r/ruffitr01.html,ruffitr01,0,73.0,http://www.sports-reference.com/cbb/players/trevor-ruffin-1.html
Paul Ruffner,1971,1976,C-F,6-10,225.0,1948-10-15,Brigham Young University,/players/r/ruffnpa01.html,ruffnpa01,0,82.0,"['http://www.basketball-reference.com/players/r/ruffnpa01.html', IndexError('list index out of range',)]"
Joe Ruklick,1960,1962,F-C,6-9,220.0,1938-08-03,Northwestern University,/players/r/ruklijo01.html,ruklijo01,0,81.0,"['http://www.basketball-reference.com/players/r/ruklijo01.html', IndexError('list index out of range',)]"
Jeff Ruland,1982,1993,C-F,6-10,240.0,1958-12-16,Iona College,/players/r/rulanje01.html,rulanje01,0,82.0,http://www.sports-reference.com/cbb/players/jeff-ruland-1.html
Bob Rule,1968,1975,C-F,6-9,220.0,1944-06-29,Colorado State University,/players/r/rulebo01.html,rulebo01,0,81.0,"['http://www.basketball-reference.com/players/r/rulebo01.html', IndexError('list index out of range',)]"
Jerry Rullo,1947,1950,G,5-10,165.0,1923-06-23,Temple University,/players/r/rulloje01.html,rulloje01,0,70.0,"['http://www.basketball-reference.com/players/r/rulloje01.html', IndexError('list index out of range',)]"
Stefano Rusconi,1996,1996,C-F,6-9,240.0,1968-10-02,,/players/r/ruscost01.html,ruscost01,0,81.0,"['http://www.basketball-reference.com/players/r/ruscost01.html', IndexError('list index out of range',)]"
Brandon Rush,2009,2017,G-F,6-6,220.0,1985-07-07,University of Kansas,/players/r/rushbr01.html,rushbr01,0,78.0,http://www.sports-reference.com/cbb/players/brandon-rush-1.html
Kareem Rush,2003,2010,G,6-6,215.0,1980-10-30,University of Missouri,/players/r/rushka01.html,rushka01,0,78.0,http://www.sports-reference.com/cbb/players/kareem-rush-1.html
Bill Russell,1957,1969,C,6-10,215.0,1934-02-12,University of San Francisco,/players/r/russebi01.html,russebi01,1,82.0,http://www.sports-reference.com/cbb/players/bill-russell-1.html
Bryon Russell,1994,2006,F,6-7,225.0,1970-12-31,"California State University, Long Beach",/players/r/russebr01.html,russebr01,0,79.0,http://www.sports-reference.com/cbb/players/bryon-russell-1.html
Campy Russell,1975,1985,F,6-8,215.0,1952-01-12,University of Michigan,/players/r/russeca02.html,russeca02,0,80.0,http://www.sports-reference.com/cbb/players/campy-russell-1.html
Cazzie Russell,1967,1978,F-G,6-5,218.0,1944-06-07,University of Michigan,/players/r/russeca01.html,russeca01,0,77.0,"['http://www.basketball-reference.com/players/r/russeca01.html', IndexError('list index out of range',)]"
D'Angelo Russell,2016,2017,G,6-5,195.0,1996-02-23,Ohio State University,/players/r/russeda01.html,russeda01,0,77.0,http://www.sports-reference.com/cbb/players/dangelo-russell-1.html
Frank Russell,1973,1973,G,6-3,180.0,1949-04-17,University of Detroit Mercy,/players/r/russefr01.html,russefr01,0,75.0,"['http://www.basketball-reference.com/players/r/russefr01.html', IndexError('list index out of range',)]"
Pierre Russell,1972,1973,F-G,6-4,190.0,1949-12-13,University of Kansas,/players/r/russepi01.html,russepi01,0,76.0,"['http://www.basketball-reference.com/players/r/russepi01.html', IndexError('list index out of range',)]"
Rubin Russell,1968,1968,G,6-2,180.0,1944-11-07,University of North Texas,/players/r/russeru01.html,russeru01,0,74.0,"['http://www.basketball-reference.com/players/r/russeru01.html', IndexError('list index out of range',)]"
Walker Russell,1983,1988,G,6-5,195.0,1960-10-26,Western Michigan University,/players/r/russewa01.html,russewa01,0,77.0,http://www.sports-reference.com/cbb/players/walker-russell-1.html
Walker Russell,2012,2012,G,6-0,170.0,1982-10-06,Jacksonville State University,/players/r/russewa02.html,russewa02,0,72.0,http://www.sports-reference.com/cbb/players/walker-russell-2.html
Arvydas Sabonis,1996,2003,C,7-3,279.0,1964-12-19,,/players/s/sabonar01.html,sabonar01,1,87.0,"['http://www.basketball-reference.com/players/s/sabonar01.html', IndexError('list index out of range',)]"
Domantas Sabonis,2017,2017,F,6-11,240.0,1996-05-03,Gonzaga University,/players/s/sabondo01.html,sabondo01,0,83.0,http://www.sports-reference.com/cbb/players/domantas-sabonis-1.html
Robert Sacre,2013,2016,C,7-0,270.0,1989-06-06,Gonzaga University,/players/s/sacrero01.html,sacrero01,0,84.0,http://www.sports-reference.com/cbb/players/robert-sacre-1.html
Ed Sadowski,1947,1950,C,6-5,240.0,1917-07-11,Seton Hall University,/players/s/sadowed01.html,sadowed01,0,77.0,"['http://www.basketball-reference.com/players/s/sadowed01.html', IndexError('list index out of range',)]"
Kenny Sailors,1947,1951,G,5-10,175.0,1921-01-14,University of Wyoming,/players/s/sailoke01.html,sailoke01,0,70.0,"['http://www.basketball-reference.com/players/s/sailoke01.html', IndexError('list index out of range',)]"
John Salley,1987,2000,F-C,6-11,230.0,1964-05-16,Georgia Institute of Technology,/players/s/sallejo01.html,sallejo01,0,83.0,http://www.sports-reference.com/cbb/players/john-salley-1.html
John Salmons,2003,2015,G,6-7,210.0,1979-12-12,University of Miami,/players/s/salmojo01.html,salmojo01,0,79.0,http://www.sports-reference.com/cbb/players/john-salmons-1.html
Al Salvadori,1968,1968,F,6-9,220.0,1945-05-06,University of South Carolina,/players/s/salvaal01.html,salvaal01,0,81.0,"['http://www.basketball-reference.com/players/s/salvaal01.html', IndexError('list index out of range',)]"
Kevin Salvadori,1997,1998,C,7-0,231.0,1970-12-30,University of North Carolina,/players/s/salvake01.html,salvake01,0,84.0,http://www.sports-reference.com/cbb/players/kevin-salvadori-1.html
Soumaila Samake,2001,2003,C,7-0,230.0,1978-03-18,,/players/s/samakso01.html,samakso01,0,84.0,"['http://www.basketball-reference.com/players/s/samakso01.html', IndexError('list index out of range',)]"
Cheikh Samb,2008,2009,C,7-1,245.0,1984-10-22,,/players/s/sambch01.html,sambch01,0,85.0,"['http://www.basketball-reference.com/players/s/sambch01.html', IndexError('list index out of range',)]"
JaKarr Sampson,2015,2016,G-F,6-9,214.0,1993-03-20,St. John's University,/players/s/sampsja02.html,sampsja02,0,81.0,http://www.sports-reference.com/cbb/players/jakarr-sampson-1.html
Jamal Sampson,2003,2007,F-C,6-11,235.0,1983-05-15,University of California,/players/s/sampsja01.html,sampsja01,0,83.0,http://www.sports-reference.com/cbb/players/jamal-sampson-1.html
Ralph Sampson,1984,1992,C-F,7-4,228.0,1960-07-07,University of Virginia,/players/s/sampsra01.html,sampsra01,1,88.0,http://www.sports-reference.com/cbb/players/ralph-sampson-1.html
Samardo Samuels,2011,2013,F,6-9,260.0,1989-01-09,University of Louisville,/players/s/samuesa01.html,samuesa01,0,81.0,http://www.sports-reference.com/cbb/players/samardo-samuels-1.html
Pepe Sanchez,2001,2003,G,6-4,195.0,1977-05-08,Temple University,/players/s/sanchpe01.html,sanchpe01,0,76.0,http://www.sports-reference.com/cbb/players/pepe-sanchez-1.html
Al Sanders,1973,1973,F,6-7,240.0,1950-01-01,Louisiana State University,/players/s/sandeal01.html,sandeal01,0,79.0,"['http://www.basketball-reference.com/players/s/sandeal01.html', IndexError('list index out of range',)]"
Frankie Sanders,1979,1981,F-G,6-6,200.0,1957-01-23,Southern University and A&M College,/players/s/sandefr01.html,sandefr01,0,78.0,"['http://www.basketball-reference.com/players/s/sandefr01.html', IndexError('list index out of range',)]"
Jeff Sanders,1990,1993,F,6-8,225.0,1966-01-14,Georgia Southern University,/players/s/sandeje01.html,sandeje01,0,80.0,http://www.sports-reference.com/cbb/players/jeff-sanders-1.html
Larry Sanders,2011,2017,C-F,6-11,235.0,1988-11-21,Virginia Commonwealth University,/players/s/sandela01.html,sandela01,0,83.0,http://www.sports-reference.com/cbb/players/larry-sanders-1.html
Melvin Sanders,2006,2006,G-F,6-5,210.0,1981-01-03,Oklahoma State University,/players/s/sandeme01.html,sandeme01,0,77.0,http://www.sports-reference.com/cbb/players/melvin-sanders-1.html
Mike Sanders,1983,1993,F-G,6-6,210.0,1960-05-07,"University of California, Los Angeles",/players/s/sandemi01.html,sandemi01,0,78.0,http://www.sports-reference.com/cbb/players/mike-sanders-1.html
Tom Sanders,1961,1973,F,6-6,210.0,1938-11-08,New York University,/players/s/sandeto01.html,sandeto01,1,78.0,"['http://www.basketball-reference.com/players/s/sandeto01.html', IndexError('list index out of range',)]"
Ron Sanford,1972,1972,F,6-9,215.0,1946-06-11,University of New Mexico,/players/s/sanforo01.html,sanforo01,0,81.0,"['http://www.basketball-reference.com/players/s/sanforo01.html', IndexError('list index out of range',)]"
Daniel Santiago,2001,2005,C,7-1,256.0,1976-06-24,Saint Vincent College,/players/s/santida01.html,santida01,0,85.0,"['http://www.basketball-reference.com/players/s/santida01.html', IndexError('list index out of range',)]"
Bob Santini,1956,1956,F,6-5,190.0,1935-02-17,Iona College,/players/s/santibo01.html,santibo01,0,77.0,"['http://www.basketball-reference.com/players/s/santibo01.html', IndexError('list index out of range',)]"
Wayne Sappleton,1985,1985,F,6-9,215.0,1960-11-17,Loyola University of Chicago,/players/s/sapplwa01.html,sapplwa01,0,81.0,http://www.sports-reference.com/cbb/players/wayne-sappleton-1.html
Dario Saric,2017,2017,F,6-10,223.0,1994-04-08,,/players/s/saricda01.html,saricda01,0,82.0,"['http://www.basketball-reference.com/players/s/saricda01.html', IndexError('list index out of range',)]"
Jason Sasser,1997,1999,F,6-7,225.0,1974-01-13,Texas Tech University,/players/s/sasseja01.html,sasseja01,0,79.0,http://www.sports-reference.com/cbb/players/jason-sasser-1.html
