Bref_ID,Sref_Cbb_ID
dardeol01,
dareyi01,yinka-dare-1
darkje01,
darneri01,
darroji01,
datomlu01,
daughbr01,brad-daugherty-1
daughma01,
davidko01,
davidje01,jermareo-davidson-1
daviebo01,bob-davies-1
daviebr01,brandon-davies-1
davisan02,anthony-davis-5
davisan01,antonio-davis-1
davisau01,
davisba01,baron-davis-1
davisbe01,ben-davis-1
davisbi01,
davisbo01,
davisbr01,brad-davis-1
davisbr02,brian-davis-1
davisch02,charles-davis-1
davisch01,
davisda01,dale-davis-1
davisde01,deyonta-davis-1
davisdw01,
davised01,ed-davis-1
davisem01,emanual-davis-1
davisgl01,glen-davis-1
davisha01,harry-davis-1
davishu01,hubert-davis-1
davisji01,
davisjo01,johnny-davis-1
davisjo02,josh-davis-1
davisle01,
davisma01,mark-davis-1
davisma02,mark-davis-2
davisme01,
davismi02,
davismi01,
davismi03,mike-davis-1
davismo01,monti-davis-1
davispa01,paul-davis-1
davisra01,
davisre01,
davisri01,ricky-davis-1
davisro01,ron-davis-1
daviste01,
daviswa01,
daviswa03,walter-davis-2
daviswa02,
daviswi01,
dawkian01,andre-dawkins-1
dawkida01,
dawkijo01,johnny-dawkins-1
dawkipa01,paul-dawkins-1
dawsobr01,branden-dawson-1
dawsoer01,
dawsoji01,
dawsoto01,tony-dawson-1
dayto01,todd-day-1
dayeau01,austin-daye-1
dayeda01,darren-daye-1
decolna01,
deanegr01,greg-deane-1
deangbi01,
debusda01,dave-debusschere-1
declean01,andrew-declercq-1
dedmode01,dewayne-dedmon-1
deedo01,
deesar01,
deherte01,terry-dehere-1
dehnere01,
dejeabr01,bryce-jones-1
dekkesa01,sam-dekker-1
delnevi01,vinny-del-negro-1
delanma01,malcolm-delaney-1
delebi01,bison-dele-1
delfica01,
delkto01,tony-delk-1
dellama01,matthew-dellavedova-1
delonna01,
dembofe01,fennis-dembo-1
demicla01,larry-demic-1
dempsde01,dell-demps-1
dempsge01,
denglu01,luol-deng-1
dennake01,kenny-dennard-1
dennibl01,
dentmju01,justin-dentmon-1
dentora01,
deprejo01,
derliro01,
derozde01,demar-derozan-1
deutsda01,
devlico01,
dezonha01,
dialde01,derrick-dial-1
diallch01,cheick-diallo-1
diawbo01,
diawaya01,yakhouba-diawara-1
diazgu01,guillermo-diaz-1
dickada01,dan-dickau-1
dickeka01,kaniel-dickens-1
dickehe01,
dickemi01,michael-dickerson-1
dickecl01,
dickede01,
dickedi01,
dicksjo01,
dienetr01,travis-diener-1
dienggo01,gorgui-dieng-1
dierkco01,
dietrco01,
digreer01,
dillcr01,
dilladw01,
dillami01,mickey-dillard-1
dillebo01,
dilloho01,
dinkiby01,byron-dinkins-1
dinkija01,
dinneha01,
dinwibi01,
dinwisp01,spencer-dinwiddie-1
dioguik01,ike-diogu-1
diopde01,
dischte01,
diutefr01,
divacvl01,
dixonju01,juan-dixon-1
djordal01,
doddea01,
doleami01,michael-doleac-1
dolhojo01,
dollbo01,
donalja01,james-donaldson-1
donhabo01,
donovbi01,billy-donovan-1
donovha01,
doolike01,keyon-dooling-1
dorseja01,jacky-dorsey-1
dorsejo01,joey-dorsey-1
dorsero01,
doubyqu01,quincy-douby-1
douglbr01,bruce-douglas-1
dougljo01,john-douglas-1
douglle01,leon-douglas-1
douglsh01,sherman-douglas-1
douglto01,toney-douglas-1
douglch01,chris-douglas-roberts-1
doveso01,
doverje01,
dowdeza01,zabian-dowdell-1
downebi01,
downist01,
doyleda01,
doziete01,terry-dozier-1
dragigo01,
dragizo01,
dreilgr01,greg-dreiling-1
drewbr01,bryce-drew-1
drewjo01,
drewla01,larry-drew-1
drewla02,larry-drew-2
drexlcl01,clyde-drexler-1
driggna01,
driscte01,
drobnpr01,
drollra01,ralph-drollinger-1
drumman01,andre-drummond-1
duckedi01,
duckwke01,kevin-duckworth-1
dudlech01,
dudlech02,chris-dudley-1
dudleja01,jared-dudley-1
duerote01,
duffybo01,
duffybo02,
duhonch01,chris-duhon-1
dukandu01,duje-dukan-1
dukeswa01,
dumarjo01,joe-dumars-1
dumasri01,
